HITId,HITTypeId,Title,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.answerGroups,Input.answerQuestions,Input.imgUrl,Input.questionStr,Input.question_id,Answer.answer_groups,Answer.answer_questions,Answer.is_skip,Answer.skipCheck,Answer.skip_reason,Turkle.Username
515770,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24497,129,Fri Jun 24 16:03:21 UTC 2022,Fri Jun 24 16:03:54 UTC 2022,33,"[[{""id"": ""g0.1"", ""content"": ""250 lbs""}], [{""id"": ""g1.0"", ""content"": ""8 feet""}], [{""id"": ""g2.3"", ""content"": ""very""}]]","[""How large in weight would this bear be?"", ""How large in feet would this bear be?"", ""How large would this bear be in general?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000420544.jpg""","""How large would this bear be?""",420544001,"[[{""id"":""g0.1"",""content"":""250 lbs""}],[{""id"":""g1.0"",""content"":""8 feet""}],[{""id"":""g2.3"",""content"":""very""}]]","[""How large in weight would this bear be?"",""How large in feet would this bear be?"",""How large would this bear be in general?""]",true,value,"[""skip"", ""~"", ""A/K. U""]",jgualla1
515777,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24504,129,Fri Jun 24 16:13:23 UTC 2022,Fri Jun 24 16:13:31 UTC 2022,8,"[[{""id"": ""g0.3"", ""content"": ""cielle""}], [{""id"": ""g1.2"", ""content"": ""big knife""}]]","[""Who killed the dog cake here?"", ""What killed the dog cake?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000309404.jpg""","""Who killed the dog cake?""",309404023,"[[{""id"":""g0.3"",""content"":""cielle""}],[{""id"":""g1.2"",""content"":""big knife""}]]","[""Who killed the dog cake here?"",""What killed the dog cake?""]",true,value,"[""skip"", ""~"", ""~ (guessing from partial info)""]",jgualla1
515784,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24511,129,Fri Jun 24 16:15:28 UTC 2022,Fri Jun 24 16:15:39 UTC 2022,11,"[[{""id"": ""g0.1"", ""content"": ""tour guide""}], [{""id"": ""g1.6"", ""content"": ""advertise""}], [{""id"": ""g2.0"", ""content"": ""bus driver""}]]","[""What is the job name of the person in red?"", ""What job is the person in red doing?"", ""What is the job of the person in red possibly?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000037771.jpg""","""What is the job of the person in red?""",37771003,"[[{""id"":""g0.1"",""content"":""tour guide""}],[{""id"":""g1.6"",""content"":""advertise""}],[{""id"":""g2.0"",""content"":""bus driver""}]]","[""What is the job name of the person in red?"",""What job is the person in red doing?"",""What is the job of the person in red possibly?""]",true,value,"[""skip"", ""A/K"", ""A/K. ~ (all are jobs?)""]",jgualla1
515794,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24521,129,Fri Jun 24 16:22:03 UTC 2022,Fri Jun 24 16:22:12 UTC 2022,9,"[[{""id"": ""g0.0"", ""content"": ""man""}], [{""id"": ""g1.1"", ""content"": ""one on right""}], [{""id"": ""g2.1"", ""content"": ""sous chef""}]]","[""Which gender person is in the black hat?"", ""Where is the person is in the black hat?"", ""The person is in the black hat is called what?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000262239.jpg""","""Which person is in the black hat?""",262239001,"[[{""id"":""g0.0"",""content"":""man""}],[{""id"":""g1.1"",""content"":""one on right""}],[{""id"":""g2.1"",""content"":""sous chef""}]]","[""Which gender person is in the black hat?"",""Where is the person is in the black hat?"",""The person is in the black hat is called what?""]",true,value,"[""skip"", ""skip"", ""~ (all answer same?) ""]",jgualla1
515796,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24523,129,Fri Jun 24 16:22:18 UTC 2022,Fri Jun 24 16:22:25 UTC 2022,7,"[[{""id"": ""g0.1"", ""content"": ""new beginning""}], [{""id"": ""g1.2"", ""content"": ""to pay for parking""}], [{""id"": ""g2.2"", ""content"": ""not parking meter""}]]","[""Why do people want to put money in this machine?"", ""Why might people accidentally put money in this machine?"", ""Why do people not put money in this machine?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000120595.jpg""","""Why do people put money in this machine?""",120595001,"[[{""id"":""g0.1"",""content"":""new beginning""}],[{""id"":""g1.2"",""content"":""to pay for parking""}],[{""id"":""g2.2"",""content"":""not parking meter""}]]","[""Why do people want to put money in this machine?"",""Why might people accidentally put money in this machine?"",""Why do people not put money in this machine?""]",true,value,"[""skip"", ""~"", ""~. M/A ""]",jgualla1
515801,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24528,129,Fri Jun 24 16:23:00 UTC 2022,Fri Jun 24 16:23:09 UTC 2022,9,"[[{""id"": ""g0.5"", ""content"": ""protecting""}], [{""id"": ""g1.1"", ""content"": ""slaughter""}]]","[""What is being done for this animal?"", ""What is being ready to be done to this animal?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000458654.jpg""","""What is being done to this animal?""",458654006,"[[{""id"":""g0.5"",""content"":""protecting""}],[{""id"":""g1.1"",""content"":""slaughter""}]]","[""What is being done for this animal?"",""What is being ready to be done to this animal?""]",true,value,"[""skip"", ""~"", ""M/A, M/B""]",jgualla1
515805,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24532,129,Fri Jun 24 16:23:34 UTC 2022,Fri Jun 24 16:23:41 UTC 2022,7,"[[{""id"": ""g0.4"", ""content"": ""no one""}], [{""id"": ""g1.2"", ""content"": ""it's store""}]]","[""Who apt is this a photo of?"", ""What kind of an apt is this?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000434372.jpg""","""Who apt is this?""",434372003,"[[{""id"":""g0.4"",""content"":""no one""}],[{""id"":""g1.2"",""content"":""it's store""}]]","[""Who apt is this a photo of?"",""What kind of an apt is this?""]",true,value,"[""skip"", ""~"", ""M/B    ""]",jgualla1
515806,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24533,129,Fri Jun 24 16:23:41 UTC 2022,Fri Jun 24 16:23:59 UTC 2022,18,"[[{""id"": ""g0.6"", ""content"": ""field""}], [{""id"": ""g1.0"", ""content"": ""toronto""}]]","[""Where is the vintage automobile stopped?"", ""In which city is the vintage automobile?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000016486.jpg""","""Where is the vintage automobile?""",16486003,"[[{""id"":""g0.6"",""content"":""field""}],[{""id"":""g1.0"",""content"":""toronto""}]]","[""Where is the vintage automobile stopped?"",""In which city is the vintage automobile?""]",true,value,"[""skip"", ""~"", ""A/L    ""]",jgualla1
515820,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24547,129,Fri Jun 24 16:26:00 UTC 2022,Fri Jun 24 16:26:06 UTC 2022,6,"[[{""id"": ""g0.3"", ""content"": ""temple""}], [{""id"": ""g1.4"", ""content"": ""foyer""}]]","[""What kind of room is this located in?"", ""What kind of room is this called?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000277134.jpg""","""What kind of room is this?""",277134000,"[[{""id"":""g0.3"",""content"":""temple""}],[{""id"":""g1.4"",""content"":""foyer""}]]","[""What kind of room is this located in?"",""What kind of room is this called?""]",true,value,"[""skip"", ""~"", ""A/K. M/B      ""]",jgualla1
515821,727,jimena_test_for_annotator_uncertainty,Thu Jun 23 18:57:09 UTC 2022,1,86400,24548,129,Fri Jun 24 16:26:06 UTC 2022,Fri Jun 24 16:26:37 UTC 2022,31,"[[{""id"": ""g0.5"", ""content"": ""rod""}], [{""id"": ""g1.0"", ""content"": ""up""}]]","[""What are the curtains hung on?"", ""Are the curtains hung up or are they  down?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000034831.jpg""","""How are the curtains hung?""",34831008,"[[{""id"":""g0.5"",""content"":""rod""}],[{""id"":""g1.0"",""content"":""up""}]]","[""What are the curtains hung on?"",""Are the curtains hung up or are they  down?""]",true,value,"[""~ A/Manner"", ""~"", ""~ (reason maybe different) ""]",jgualla1
