HITId,HITTypeId,Title,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.answerGroups,Input.answerQuestions,Input.imgUrl,Input.questionStr,Input.question_id,Answer.answer_groups,Answer.answer_questions,Answer.is_skip,Answer.skipCheck,Answer.skip_reason,Turkle.Username
503776,727,jimena_test_for_annotator_uncertainty,Mon Jun 06 20:08:48 UTC 2022,1,86400,24165,52,Wed Jun 08 13:18:52 UTC 2022,Wed Jun 08 13:19:35 UTC 2022,43,"[[{""id"":""g0.0"",""content"":""celery""}],[{""id"":""g1.1"",""content"":""carrots""}]]","[""What type of green vegetable is on the plate?"",""What type of orange vegetable is on the plate?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000448653.jpg""","""What type of vegetable is on the plate?""",448653002,"[[{""id"":""g0.0"",""content"":""celery""}],[{""id"":""g1.1"",""content"":""carrots""}]]","[""What type of green vegetable is on the plate?"",""What type of orange vegetable is on the plate?""]",TRUE,value,"""I'm fine with this one being put under \""mistakes\"" instead of \""ambiguous\"" """,esteng
503777,727,jimena_test_for_annotator_uncertainty,Mon Jun 06 20:08:48 UTC 2022,1,86400,24166,52,Wed Jun 08 13:19:39 UTC 2022,Wed Jun 08 13:21:09 UTC 2022,90,"[[{""id"":""g0.0"",""content"":""fruit""}],[{""id"":""g1.5"",""content"":""fried""}],[{""id"":""g2.1"",""content"":""donuts & fruit""}]]","[""What type of non fried dessert is this?"",""How is the dessert is on the right of the plate made?"",""What whole type of dessert is this?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000297665.jpg""","""What type of dessert is this?""",297665013,"[[{""id"":""g0.0"",""content"":""fruit""}],[{""id"":""g1.5"",""content"":""fried""}],[{""id"":""g2.1"",""content"":""donuts & fruit""}]]","[""What type of non fried dessert is this?"",""How is the dessert is on the right of the plate made?"",""What whole type of dessert is this?""]",TRUE,value,"""Questions are weirdly phrased but i'm OK with the example, especially the distinction between \""fried\"" and nouns like \""fruit\"", \""donuts + fruit\"" """,esteng
503778,727,jimena_test_for_annotator_uncertainty,Mon Jun 06 20:08:48 UTC 2022,1,86400,24167,52,Wed Jun 08 13:21:09 UTC 2022,Wed Jun 08 13:21:49 UTC 2022,40,"[[{""id"":""g0.1"",""content"":""ketchup""}],[{""id"":""g1.1"",""content"":""relish""}],[{""id"":""g2.1"",""content"":""bacon, onions, bbq""}]]","[""What sauce condiment is on the hot dogs?"",""What vegetable condiment is on the hot dogs?"",""What condiments are on the hot dogs?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000252602.jpg""","""What condiment is on the hot dogs?""",252602002,"[[{""id"":""g0.1"",""content"":""ketchup""}],[{""id"":""g1.1"",""content"":""relish""}],[{""id"":""g2.1"",""content"":""bacon, onions, bbq""}]]","[""What sauce condiment is on the hot dogs?"",""What vegetable condiment is on the hot dogs?"",""What condiments are on the hot dogs?""]",TRUE,value,"""delete""",esteng
503779,727,jimena_test_for_annotator_uncertainty,Mon Jun 06 20:08:48 UTC 2022,1,86400,24168,52,Wed Jun 08 13:21:49 UTC 2022,Wed Jun 08 13:23:12 UTC 2022,83,"[[{""id"":""g0.2"",""content"":""go mister""}],[{""id"":""g1.3"",""content"":""korea""}],[{""id"":""g2.0"",""content"":""outside""}]]","[""In which city was the picture taken?"",""In what country was the picture taken?"",""Where in nature was the picture taken?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000238006.jpg""","""Where was the picture taken?""",238006001,"[[{""id"":""g0.2"",""content"":""go mister""}],[{""id"":""g1.3"",""content"":""korea""}],[{""id"":""g2.0"",""content"":""outside""}]]","[""In which city was the picture taken?"",""In what country was the picture taken?"",""Where in nature was the picture taken?""]",TRUE,value,"""Fine to keep this example.  The \""korea\"" answer is comically bad, but i think we can keep it for now.""",esteng
503780,727,jimena_test_for_annotator_uncertainty,Mon Jun 06 20:08:48 UTC 2022,1,86400,24169,52,Wed Jun 08 13:23:13 UTC 2022,Wed Jun 08 13:24:33 UTC 2022,80,"[[{""id"":""g0.6"",""content"":""brooklyn bridge""}],[{""id"":""g1.0"",""content"":""london""}],[{""id"":""g2.0"",""content"":""suspension""}]]","[""What is the name of the bridge that can be seen in the distance?"",""What city's bridge can be seen in the distance?"",""What type of bridge can be seen in the distance?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000426038.jpg""","""What bridge can be seen in the distance?""",426038003,"[[{""id"":""g1.0"",""content"":""london""},{""id"":""g0.6"",""content"":""brooklyn bridge""}],[{""id"":""g2.0"",""content"":""suspension""}]]","[""What is the name of the bridge that can be seen in the distance?"",""What type of bridge can be seen in the distance?""]",TRUE,value,"""I would groupd London and Brooklyn bridge into the same group, because London Bridge is a well-known bridge as well. Also this is obviously not the london or brooklyn bridge lol""",esteng
503781,727,jimena_test_for_annotator_uncertainty,Mon Jun 06 20:08:48 UTC 2022,1,86400,24191,52,Wed Jun 08 15:47:10 UTC 2022,Wed Jun 08 15:48:08 UTC 2022,58,"[[{""id"":""g0.3"",""content"":""b""}],[{""id"":""g1.0"",""content"":""bottle""}],[{""id"":""g2.0"",""content"":""nature made""}],[{""id"":""g3.0"",""content"":""yellow""}]]","[""What is the name of the type of vitamin in the fridge ?"",""What are the vitamins in the fridge contained in?"",""What brand of vitamin is in the fridge?"",""What color is the type of vitamin is in the fridge?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000142420.jpg""","""What type of vitamin is in the fridge?""",142420003,"[[{""id"":""g0.3"",""content"":""b""}],[{""id"":""g1.0"",""content"":""bottle""}],[{""id"":""g2.0"",""content"":""nature made""}],[{""id"":""g3.0"",""content"":""yellow""}]]","[""What is the name of the type of vitamin in the fridge ?"",""What are the vitamins in the fridge contained in?"",""What brand of vitamin is in the fridge?"",""What color is the type of vitamin is in the fridge?""]",TRUE,value,"""I forget where we settled on this one. I'm fine with it, under the same logic as the beer example. The argument here is that the set of alternatives for the different answers is different (i.e. \""vitamin b\"" vs \""vitamin C\"", \""bottle\"" vs \""bag\"", \""nature made\"" vs some other brand, \""yellow\"" vs another color) """,esteng
503782,727,jimena_test_for_annotator_uncertainty,Mon Jun 06 20:08:48 UTC 2022,1,86400,24171,52,Wed Jun 08 13:26:14 UTC 2022,Wed Jun 08 13:27:02 UTC 2022,48,"[[{""id"":""g0.0"",""content"":""man""}],[{""id"":""g1.1"",""content"":""one on right""}],[{""id"":""g2.1"",""content"":""sous chef""}]]","[""Is the man or woman in the black hat?"",""Which of the people is the person in the black hat?"",""Which cook is in the black hat?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000262239.jpg""","""Which person is in the black hat?""",262239001,"[[{""id"":""g0.0"",""content"":""man""}],[{""id"":""g1.1"",""content"":""one on right""}],[{""id"":""g2.1"",""content"":""sous chef""}]]","[""Is the man or woman in the black hat?"",""Which of the people is the person in the black hat?"",""Which cook is in the black hat?""]",TRUE,value,"""delete""",esteng
503783,727,jimena_test_for_annotator_uncertainty,Mon Jun 06 20:08:48 UTC 2022,1,86400,24172,52,Wed Jun 08 13:27:02 UTC 2022,Wed Jun 08 13:28:00 UTC 2022,58,"[[{""id"":""g0.5"",""content"":""protecting""}],[{""id"":""g1.1"",""content"":""slaughter""}]]","[""What is being done for this animal?"",""What is being ready to be done to this animal?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000458654.jpg""","""What is being done to this animal?""",458654006,"[[{""id"":""g0.5"",""content"":""protecting""}],[{""id"":""g1.1"",""content"":""slaughter""}]]","[""What is being done for this animal?"",""What is being ready to be done to this animal?""]",TRUE,value,"""delete""",esteng
503784,727,jimena_test_for_annotator_uncertainty,Mon Jun 06 20:08:48 UTC 2022,1,86400,24173,52,Wed Jun 08 13:28:00 UTC 2022,Wed Jun 08 13:30:43 UTC 2022,163,"[[{""id"":""g0.6"",""content"":""field""}],[{""id"":""g1.0"",""content"":""toronto""}]]","[""What is the vintage automobile stopped next to?"",""In what city could the vintage automobile be?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000016486.jpg""","""Where is the vintage automobile?""",16486003,"[[{""id"":""g0.6"",""content"":""field""}],[{""id"":""g1.0"",""content"":""toronto""}]]","[""What is the vintage automobile stopped next to?"",""In what city could the vintage automobile be?""]",TRUE,value,"""This is a tough one because they are both technically locations, so same question? but also there are clear different alternative sets for the two groups. I also like that the evidence for Toronto is very indirect. Let's keep it""",esteng
503785,727,jimena_test_for_annotator_uncertainty,Mon Jun 06 20:08:48 UTC 2022,1,86400,24174,52,Wed Jun 08 13:30:43 UTC 2022,Wed Jun 08 13:30:57 UTC 2022,14,"[[{""id"":""g0.3"",""content"":""temple""}],[{""id"":""g1.4"",""content"":""foyer""}]]","[""In what building is this room?"",""What type of room is this?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000277134.jpg""","""What kind of room is this?""",277134000,"[[{""id"":""g0.3"",""content"":""temple""}],[{""id"":""g1.4"",""content"":""foyer""}]]","[""In what building is this room?"",""What type of room is this?""]",TRUE,value,"""delete""",esteng
