imgUrl,questionStr,answerGroups,answerQuestions
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000439506.jpg""","""Does the girl dye her hair?""","[[{""id"": ""g0.0"", ""content"": ""no""}], [{""id"": ""g1.0"", ""content"": ""yes""}, {""id"": ""g1.1"", ""content"": ""maybe""}]]","[""Does the girl dye her hair?"", ""Does the girl dye her hair?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000442150.jpg""","""Where are the flowers?""","[[{""id"": ""g0.0"", ""content"": ""behind girl""}, {""id"": ""g0.1"", ""content"": ""behind her""}, {""id"": ""g0.2"", ""content"": ""behind person""}], [{""id"": ""g1.0"", ""content"": ""on edge of counter""}, {""id"": ""g1.1"", ""content"": ""on counter""}], [{""id"": ""g2.0"", ""content"": ""left""}], [{""id"": ""g3.0"", ""content"": ""in vase""}, {""id"": ""g3.1"", ""content"": ""vase""}], [{""id"": ""g4.0"", ""content"": ""floor""}]]","[""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000442150.jpg""","""Where are the flowers?""","[[{""id"": ""g0.0"", ""content"": ""behind girl""}, {""id"": ""g0.1"", ""content"": ""behind her""}, {""id"": ""g0.2"", ""content"": ""behind person""}], [{""id"": ""g1.0"", ""content"": ""on edge of counter""}, {""id"": ""g1.1"", ""content"": ""on counter""}], [{""id"": ""g2.0"", ""content"": ""left""}], [{""id"": ""g3.0"", ""content"": ""in vase""}, {""id"": ""g3.1"", ""content"": ""vase""}], [{""id"": ""g4.0"", ""content"": ""floor""}]]","[""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000436981.jpg""","""What are the letters on the bus?""","[[{""id"": ""g0.0"", ""content"": ""lak 3090""}, {""id"": ""g0.1"", ""content"": ""lak""}, {""id"": ""g0.2"", ""content"": ""lak309g""}, {""id"": ""g0.3"", ""content"": ""3096""}], [{""id"": ""g1.0"", ""content"": ""lak""}]]","[""What are the letters on the bus?"", ""What are the letters on the bus?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000441678.jpg""","""Where is the silverware?""","[[{""id"": ""g0.0"", ""content"": ""no""}, {""id"": ""g0.1"", ""content"": ""not on table""}, {""id"": ""g0.2"", ""content"": ""there is none shown""}, {""id"": ""g0.3"", ""content"": ""there isn't any""}], [{""id"": ""g1.0"", ""content"": ""don't know!""}], [{""id"": ""g2.0"", ""content"": ""in drawer""}, {""id"": ""g2.1"", ""content"": ""in someone's hand""}], [{""id"": ""g3.0"", ""content"": ""gone""}], [{""id"": ""g4.0"", ""content"": ""absent""}]]","[""Where is the silverware?"", ""Where is the silverware?"", ""Where is the silverware?"", ""Where is the silverware?"", ""Where is the silverware?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000443607.jpg""","""What is the man looking out of?""","[[{""id"": ""g0.0"", ""content"": ""carriage""}, {""id"": ""g0.1"", ""content"": ""horse carriage""}], [{""id"": ""g1.0"", ""content"": ""wagon""}], [{""id"": ""g2.0"", ""content"": ""buggy""}], [{""id"": ""g3.0"", ""content"": ""glasses""}], [{""id"": ""g4.0"", ""content"": ""he's looking out his eyes""}, {""id"": ""g4.1"", ""content"": ""eyes""}], [{""id"": ""g5.0"", ""content"": ""tree""}]]","[""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000441633.jpg""","""What type of hat is this man wearing?""","[[{""id"": ""g0.0"", ""content"": ""bucket hat""}, {""id"": ""g0.1"", ""content"": ""hat with hole""}], [{""id"": ""g1.0"", ""content"": ""fedora""}], [{""id"": ""g2.0"", ""content"": ""rasta hat""}], [{""id"": ""g3.0"", ""content"": ""ponytail""}], [{""id"": ""g4.0"", ""content"": ""fedora with dreads""}], [{""id"": ""g5.0"", ""content"": ""visor""}], [{""id"": ""g6.0"", ""content"": ""top""}]]","[""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000440689.jpg""","""What is on the front of the bike?""","[[{""id"": ""g0.0"", ""content"": ""mirrors""}], [{""id"": ""g1.0"", ""content"": ""motorcycle""}], [{""id"": ""g2.0"", ""content"": ""another bike""}], [{""id"": ""g3.0"", ""content"": ""mirror""}], [{""id"": ""g4.0"", ""content"": ""tire""}]]","[""What is on the front of the bike?"", ""What is on the front of the bike?"", ""What is on the front of the bike?"", ""What is on the front of the bike?"", ""What is on the front of the bike?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000440444.jpg""","""Whose house is this?""","[[{""id"": ""g0.0"", ""content"": ""don't know""}], [{""id"": ""g1.0"", ""content"": ""steve's""}], [{""id"": ""g2.0"", ""content"": ""man""}], [{""id"": ""g3.0"", ""content"": ""unknown""}, {""id"": ""g3.1"", ""content"": ""mom's""}], [{""id"": ""g4.0"", ""content"": ""man's""}]]","[""Whose house is this?"", ""Whose house is this?"", ""Whose house is this?"", ""Whose house is this?"", ""Whose house is this?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000443082.jpg""","""What does the man's shirt say?""","[[{""id"": ""g0.0"", ""content"": ""eagles""}], [{""id"": ""g1.0"", ""content"": ""michigan""}], [{""id"": ""g2.0"", ""content"": ""miami eagles legends, all state champions usa""}], [{""id"": ""g3.0"", ""content"": ""america beautiful""}], [{""id"": ""g4.0"", ""content"": ""miami eagles""}, {""id"": ""g4.1"", ""content"": ""miami eagles usa""}], [{""id"": ""g5.0"", ""content"": ""m""}], [{""id"": ""g6.0"", ""content"": ""can't read it""}], [{""id"": ""g7.0"", ""content"": ""united""}]]","[""What does the man's shirt say?"", ""What does the man's shirt say?"", ""What does the man's shirt say?"", ""What does the man's shirt say?"", ""What does the man's shirt say?"", ""What does the man's shirt say?"", ""What does the man's shirt say?"", ""What does the man's shirt say?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000441459.jpg""","""What is the woman looking at?""","[[{""id"": ""g0.0"", ""content"": ""sidewalk""}], [{""id"": ""g1.0"", ""content"": ""camera""}], [{""id"": ""g2.0"", ""content"": ""sky""}], [{""id"": ""g3.0"", ""content"": ""street""}], [{""id"": ""g4.0"", ""content"": ""wall""}], [{""id"": ""g5.0"", ""content"": ""unknown""}], [{""id"": ""g6.0"", ""content"": ""photographer""}]]","[""What is the woman looking at?"", ""What is the woman looking at?"", ""What is the woman looking at?"", ""What is the woman looking at?"", ""What is the woman looking at?"", ""What is the woman looking at?"", ""What is the woman looking at?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000443497.jpg""","""Why might this skier be involved in some kind of competition?""","[[{""id"": ""g0.0"", ""content"": ""he isn't""}], [{""id"": ""g1.0"", ""content"": ""tag on jacket""}, {""id"": ""g1.1"", ""content"": ""he's wearing tag""}], [{""id"": ""g2.0"", ""content"": ""don't think he is""}, {""id"": ""g2.1"", ""content"": ""because of white pass on his jacket""}, {""id"": ""g2.2"", ""content"": ""to try to win""}], [{""id"": ""g3.0"", ""content"": ""unsure""}], [{""id"": ""g4.0"", ""content"": ""has number""}], [{""id"": ""g5.0"", ""content"": ""tag""}]]","[""Why might this skier be involved in some kind of competition?"", ""Why might this skier be involved in some kind of competition?"", ""Why might this skier be involved in some kind of competition?"", ""Why might this skier be involved in some kind of competition?"", ""Why might this skier be involved in some kind of competition?"", ""Why might this skier be involved in some kind of competition?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000442099.jpg""","""What is the wall in the background made of?""","[[{""id"": ""g0.0"", ""content"": ""drywall""}], [{""id"": ""g1.0"", ""content"": ""sheetrock""}], [{""id"": ""g2.0"", ""content"": ""wood""}], [{""id"": ""g3.0"", ""content"": ""plaster""}], [{""id"": ""g4.0"", ""content"": ""white""}], [{""id"": ""g5.0"", ""content"": ""concrete""}], [{""id"": ""g6.0"", ""content"": ""cardboard""}]]","[""What is the wall in the background made of?"", ""What is the wall in the background made of?"", ""What is the wall in the background made of?"", ""What is the wall in the background made of?"", ""What is the wall in the background made of?"", ""What is the wall in the background made of?"", ""What is the wall in the background made of?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000440314.jpg""","""In which direction is the wave moving?""","[[{""id"": ""g0.0"", ""content"": ""south""}], [{""id"": ""g1.0"", ""content"": ""forward""}], [{""id"": ""g2.0"", ""content"": ""left to right""}, {""id"": ""g2.1"", ""content"": ""right""}], [{""id"": ""g3.0"", ""content"": ""down""}, {""id"": ""g3.1"", ""content"": ""toward beach""}], [{""id"": ""g4.0"", ""content"": ""left""}]]","[""In which direction is the wave moving?"", ""In which direction is the wave moving?"", ""In which direction is the wave moving?"", ""In which direction is the wave moving?"", ""In which direction is the wave moving?""]"
