HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.imgUrl,Input.questionStr,Input.answerGroups,Input.answerQuestions,Input.question_id,Answer.answer_groups,Answer.answer_questions,Answer.is_skip,Answer.skipCheck,Answer.skip_reason,Approve,Reject,Turkle.Username,ambiguity_type
495534,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23785,129,,Thu Jun 02 17:38:34 UTC 2022,Thu Jun 02 17:38:46 UTC 2022,,,,,12,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000035884.jpg""","""What is the writing?""","[[{""id"": ""g0.7"", ""content"": ""note""}], [{""id"": ""g1.0"", ""content"": ""phone""}]]","[""What is the writing possibly?"", ""What is using for the writing?""]",35884005,"[[{'id': 'g0.7', 'content': 'note'}, {'id': 'g0.0', 'content': 'note'}, {'id': 'g0.0', 'content': 'note'}], [{'id': 'g1.0', 'content': 'phone'}]]","[""What is the writing possibly?"",""What is using for the writing?""]",true,value,"""delete, flag""",,,jgualla1,"U.M/B.M/A"""
495535,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23786,129,,Thu Jun 02 17:38:46 UTC 2022,Thu Jun 02 17:40:50 UTC 2022,,,,,124,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000222006.jpg""","""Why is the hydraulic pump on the street?""","[[{""id"": ""g0.3"", ""content"": ""fire""}], [{""id"": ""g1.0"", ""content"": ""abandoned gas station""}]]","[""For what purpose is the hydraulic pump on the street?"", ""Where is the hydraulic pump on the street?""]",222006012,"[[{'id': 'g0.3', 'content': 'fire'}, {'id': 'g0.0', 'content': 'fire hydrant'}, {'id': 'g0.1', 'content': 'fire'}, {'id': 'g0.0', 'content': 'fire hydrant'}, {'id': 'g0.1', 'content': 'fire'}, {'id': 'g0.1', 'content': 'fire'}, {'id': 'g0.0', 'content': 'fire hydrant'}], [{'id': 'g1.0', 'content': 'abandoned gas station'}]]","[""For what purpose is the hydraulic pump on the street?"",""Why was the hydraulic pump placed on the street next to the building?""]",false,,"""All answer the same question""",,,jgualla1,"A/P.A/C"""
495537,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23788,129,,Thu Jun 02 17:41:07 UTC 2022,Thu Jun 02 17:42:12 UTC 2022,,,,,65,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000037771.jpg""","""What is the job of the person in red?""","[[{""id"": ""g0.1"", ""content"": ""tour guide""}], [{""id"": ""g1.6"", ""content"": ""advertise""}], [{""id"": ""g2.0"", ""content"": ""bus driver""}]]","[""What is the job name of the person in red?"", ""What job is the person in red doing?"", ""What is the job of the person in red possibly?""]",37771003,"[[{'id': 'g0.1', 'content': 'tour guide'}, {'id': 'g0.0', 'content': 'tourist guide'}, {'id': 'g0.0', 'content': 'tourist guide'}, {'id': 'g0.1', 'content': 'tour guide'}, {'id': 'g2.0', 'content': 'bus driver'}], [{'id': 'g1.6', 'content': 'advertise'}, {'id': 'g1.0', 'content': 'advertise'}, {'id': 'g1.0', 'content': 'advertise'}]]","[""What is the name of the job of the person in red?"",""What is the task of the person in red?""]",false,,"""All answer the same question""",,,jgualla1,"skip"""
495538,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23789,129,,Thu Jun 02 17:42:13 UTC 2022,Thu Jun 02 17:42:36 UTC 2022,,,,,23,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000027764.jpg""","""What make of motorcycle is that?""","[[{""id"": ""g0.4"", ""content"": ""suzuki""}], [{""id"": ""g1.1"", ""content"": ""dirt""}], [{""id"": ""g2.0"", ""content"": ""blue & white""}]]","[""What brand of motorcycle is that ?"", ""What type of motorcycle is that?"", ""What color of motorcycle is that?""]",27764009,"[[{'id': 'g0.4', 'content': 'suzuki'}, {'id': 'g0.0', 'content': 'suzuki'}, {'id': 'g0.0', 'content': 'suzuki'}], [{'id': 'g1.1', 'content': 'dirt'}, {'id': 'g1.0', 'content': 'dirt bike'}, {'id': 'g1.0', 'content': 'dirt bike'}, {'id': 'g1.1', 'content': 'dirt'}], [{'id': 'g2.0', 'content': 'blue & white'}, {'id': 'g2.1', 'content': 'blue & white'}, {'id': 'g2.1', 'content': 'blue & white'}, {'id': 'g2.0', 'content': 'not sure'}]]","[""What brand of motorcycle is that?"",""What type of motorcycle is that?"",""What color of motorcycle is that?""]",true,value,"""All answer the same question""",,,jgualla1,"U.A/K"""
495539,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23790,129,,Thu Jun 02 17:42:36 UTC 2022,Thu Jun 02 17:44:19 UTC 2022,,,,,103,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000004131.jpg""","""What is the job of the boy?""","[[{""id"": ""g0.0"", ""content"": ""infield""}], [{""id"": ""g1.5"", ""content"": ""pitcher""}], [{""id"": ""g2.0"", ""content"": ""baseball""}], [{""id"": ""g3.0"", ""content"": ""catch ball""}]]","[""What is the job location of the boy?"", ""What is the job position of the boy possibly?"", ""What sport is the job of the boy?"", ""What is the job duty of the boy?""]",4131007,"[[{'id': 'g0.0', 'content': 'infield'}], [{'id': 'g1.5', 'content': 'pitcher'}, {'id': 'g1.0', 'content': 'pitcher'}, {'id': 'g1.0', 'content': 'pitcher'}], [{'id': 'g2.0', 'content': 'baseball'}], [{'id': 'g3.0', 'content': 'catch ball'}]]","[""Where could the boy be located for his job?"",""What could the position of the boy be?"",""What sport is the boy playing?"",""What does the boy have to do to for his job?""]",false,,"""All answer the same question""",,,jgualla1,"\""A/K\"""""
495540,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23791,129,,Thu Jun 02 17:44:19 UTC 2022,Thu Jun 02 17:45:06 UTC 2022,,,,,47,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000426980.jpg""","""Where are the people sitting?""","[[{""id"": ""g0.2"", ""content"": ""campground""}], [{""id"": ""g1.6"", ""content"": ""under tree""}]]","[""Where are the people sitting in the countryside?"", ""Where are the people sitting outside?""]",426980001,"[[{'id': 'g0.2', 'content': 'campground'}, {'id': 'g0.0', 'content': 'campground'}, {'id': 'g0.0', 'content': 'campground'}, {'id': 'g0.0', 'content': 'campground'}, {'id': 'g0.0', 'content': 'campground'}], [{'id': 'g1.6', 'content': 'under tree'}, {'id': 'g1.0', 'content': 'outside'}, {'id': 'g1.0', 'content': 'outside'}, {'id': 'g1.0', 'content': 'outside'}, {'id': 'g1.0', 'content': 'outside'}]]","[""In what area are the people sitting?"",""What are the people sitting under?""]",false,,"""All answer the same question""",,,jgualla1,"\""A/L\"""""
495541,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23792,129,,Thu Jun 02 17:45:06 UTC 2022,Thu Jun 02 17:46:28 UTC 2022,,,,,82,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000476738.jpg""","""What game is he playing?""","[[{""id"": ""g0.5"", ""content"": ""slot machines""}], [{""id"": ""g1.1"", ""content"": ""laptop""}]]","[""What game name is he playing?"", ""What game is he playing with?""]",476738003,"[[{'id': 'g0.5', 'content': 'slot machines'}, {'id': 'g0.0', 'content': 'slot machines'}, {'id': 'g0.0', 'content': 'slot machines'}], [{'id': 'g1.1', 'content': 'laptop'}, {'id': 'g1.0', 'content': 'solitaire'}, {'id': 'g1.0', 'content': 'solitaire'}]]","[""What specific game could he be playing?"",""What kind of game is he playing?""]",false,,"""All answer the same question""",,,jgualla1,"U.M/B.M/A"""
495542,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23793,129,,Thu Jun 02 17:46:28 UTC 2022,Thu Jun 02 17:47:15 UTC 2022,,,,,47,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000485180.jpg""","""Where is this?""","[[{""id"": ""g0.3"", ""content"": ""concert""}], [{""id"": ""g1.0"", ""content"": ""africa""}], [{""id"": ""g2.1"", ""content"": ""street""}], [{""id"": ""g3.0"", ""content"": ""mall""}]]","[""Why is this?"", ""Which country is this?"", ""Is this inside or outside?"", ""Where is this located?""]",485180001,"[[{'id': 'g0.3', 'content': 'concert'}, {'id': 'g0.0', 'content': 'concert'}, {'id': 'g0.0', 'content': 'concert'}], [{'id': 'g1.0', 'content': 'africa'}], [{'id': 'g2.1', 'content': 'street'}, {'id': 'g2.0', 'content': 'event'}, {'id': 'g2.0', 'content': 'event'}], [{'id': 'g3.0', 'content': 'mall'}]]","[""At what event is this?"",""In what country is this?"",""Is this inside or outside?"",""In what establishment could this be located?""]",false,,"""All answer the same question""",,,jgualla1,"\""A/L\"""""
495543,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23794,129,,Thu Jun 02 17:47:15 UTC 2022,Thu Jun 02 17:47:54 UTC 2022,,,,,39,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000014707.jpg""","""How is the plane flying?""","[[{""id"": ""g0.1"", ""content"": ""engines""}], [{""id"": ""g1.3"", ""content"": ""low""}], [{""id"": ""g2.1"", ""content"": ""in air""}]]","[""How is the plane flying possible?"", ""How high is the plane flying?"", ""Where is the plane flying?""]",14707007,"[[{'id': 'g0.1', 'content': 'engines'}, {'id': 'g0.0', 'content': 'engines'}, {'id': 'g0.0', 'content': 'engines'}, {'id': 'g2.1', 'content': 'in air'}, {'id': 'g2.0', 'content': 'in sky'}, {'id': 'g2.0', 'content': 'in sky'}, {'id': 'g2.1', 'content': 'in air'}], [{'id': 'g1.3', 'content': 'low'}, {'id': 'g1.0', 'content': ""4000'""}, {'id': 'g1.1', 'content': 'low'}, {'id': 'g1.0', 'content': ""4000'""}, {'id': 'g1.1', 'content': 'low'}, {'id': 'g1.1', 'content': 'low'}, {'id': 'g1.0', 'content': ""4000'""}]]","[""What mechanisms allow the play to fly?"",""How high is the plane flying?""]",false,,"""All answer the same question""",,,jgualla1,"A/C.A/N"""
495544,727,jimena_test_for_annotator_uncertainty,,,,Thu Jun 02 16:32:23 UTC 2022,1,,86400,,,,,23795,129,,Thu Jun 02 17:47:54 UTC 2022,Thu Jun 02 17:50:15 UTC 2022,,,,,141,,,,"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000041730.jpg""","""What kind of food is set out?""","[[{""id"": ""g0.1"", ""content"": ""japanese""}], [{""id"": ""g1.1"", ""content"": ""veggies, rice, orange, yogurt""}], [{""id"": ""g2.1"", ""content"": ""vegan""}], [{""id"": ""g3.0"", ""content"": ""stir fry""}], [{""id"": ""g4.0"", ""content"": ""healthy""}], [{""id"": ""g5.0"", ""content"": ""picnic""}]]","[""What ethnic kind of food is set out?"", ""What kind of foods are set out?"", ""What kind of food is set out without meat?"", ""What cooking style kind of food is set out?"", ""What medically kind of food is set out ?"", ""What kind of food is this set out for?""]",41730001,"[[{'id': 'g0.1', 'content': 'japanese'}, {'id': 'g0.0', 'content': 'japanese'}, {'id': 'g0.0', 'content': 'japanese'}], [{'id': 'g1.1', 'content': 'veggies, rice, orange, yogurt'}, {'id': 'g1.0', 'content': 'veggies, rice, orange, yogurt'}, {'id': 'g1.0', 'content': 'veggies, rice, orange, yogurt'}], [{'id': 'g4.0', 'content': 'healthy'}, {'id': 'g3.0', 'content': 'stir fry'}, {'id': 'g2.1', 'content': 'vegan'}, {'id': 'g2.0', 'content': 'vegetarian'}, {'id': 'g2.0', 'content': 'vegetarian'}, {'id': 'g2.1', 'content': 'vegan'}], [{'id': 'g5.0', 'content': 'picnic'}]]","[""What is the ethnicity of food set out?"",""What food items are set out?"",""What style of food is set out?"",""What is this food set out for?""]",false,,"""All answer the same question""",,,jgualla1,"A/K"""
