"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.answerGroups","Input.answerQuestions","Input.imgUrl","Input.questionStr","Answer.answer_groups","Answer.answer_questions","Answer.is_skip","Answer.skipCheck","Answer.skip_reason","Turkle.Username"
"476670","85","Uncertainty QUD","Thu Feb 24 13:02:48 UTC 2022","3","86400","22169","52","Thu Feb 24 13:03:23 UTC 2022","Thu Feb 24 13:03:31 UTC 2022","8","[[{""id"": ""g0.0"", ""content"": ""chopped""}], [{""id"": ""g1.0"", ""content"": ""sliced""}]]","[""Was the apple sliced or chopped?"", ""Was the apple sliced or chopped?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000445745.jpg""","""Was the apple sliced or chopped?""","[[{""id"":""g0.0"",""content"":""chopped""}],[{""id"":""g1.0"",""content"":""sliced""}]]","[""Was the apple sliced or chopped?"",""Was the apple sliced or chopped?""]","true","value","""All answer the same question""","esteng"
"476670","85","Uncertainty QUD","Thu Feb 24 13:02:48 UTC 2022","3","86400","22314","141","Sat Feb 26 17:34:40 UTC 2022","Sat Feb 26 20:20:07 UTC 2022","9927","[[{""id"": ""g0.0"", ""content"": ""chopped""}], [{""id"": ""g1.0"", ""content"": ""sliced""}]]","[""Was the apple sliced or chopped?"", ""Was the apple sliced or chopped?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000445745.jpg""","""Was the apple sliced or chopped?""","[[{""id"":""g0.0"",""content"":""chopped""}],[{""id"":""g1.0"",""content"":""sliced""}]]","[""Was the apple sliced or chopped?"",""Was the apple sliced or chopped?""]","true","value","""All answer the same question""","ohussei3"
"476670","85","Uncertainty QUD","Thu Feb 24 13:02:48 UTC 2022","3","86400","22439","139","Wed Mar 02 18:45:38 UTC 2022","Wed Mar 02 18:52:44 UTC 2022","426","[[{""id"": ""g0.0"", ""content"": ""chopped""}], [{""id"": ""g1.0"", ""content"": ""sliced""}]]","[""Was the apple sliced or chopped?"", ""Was the apple sliced or chopped?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000445745.jpg""","""Was the apple sliced or chopped?""","[[{""id"":""g0.0"",""content"":""chopped""}],[{""id"":""g1.0"",""content"":""sliced""}]]","[""Was the apple on the right sliced or chopped?"",""Was the apple in the hand sliced or chopped?""]","false","","""All answer the same question""","rhuang29"
"476671","85","Uncertainty QUD","Thu Feb 24 13:02:48 UTC 2022","3","86400","22170","52","Thu Feb 24 13:03:31 UTC 2022","Thu Feb 24 13:03:38 UTC 2022","7","[[{""id"": ""g0.0"", ""content"": ""blue""}], [{""id"": ""g1.0"", ""content"": ""blue, white""}, {""id"": ""g1.1"", ""content"": ""blue and white""}]]","[""What color are the walls?"", ""What color are the walls?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000447840.jpg""","""What color are the walls?""","[[{""id"":""g0.0"",""content"":""blue""},{""id"":""g1.0"",""content"":""blue, white""},{""id"":""g1.1"",""content"":""blue and white""}]]","[""What color are the walls?""]","true","value","""All answer the same question""","esteng"
"476671","85","Uncertainty QUD","Thu Feb 24 13:02:48 UTC 2022","3","86400","22331","141","Sat Feb 26 20:20:11 UTC 2022","Sat Feb 26 20:20:24 UTC 2022","13","[[{""id"": ""g0.0"", ""content"": ""blue""}], [{""id"": ""g1.0"", ""content"": ""blue, white""}, {""id"": ""g1.1"", ""content"": ""blue and white""}]]","[""What color are the walls?"", ""What color are the walls?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000447840.jpg""","""What color are the walls?""","[[{""id"":""g0.0"",""content"":""blue""},{""id"":""g1.0"",""content"":""blue, white""},{""id"":""g1.1"",""content"":""blue and white""}]]","[""What color are the walls?""]","true","value","""All answer the same question""","ohussei3"
"476671","85","Uncertainty QUD","Thu Feb 24 13:02:48 UTC 2022","3","86400","22440","139","Wed Mar 02 18:52:51 UTC 2022","Wed Mar 02 18:54:07 UTC 2022","76","[[{""id"": ""g0.0"", ""content"": ""blue""}], [{""id"": ""g1.0"", ""content"": ""blue, white""}, {""id"": ""g1.1"", ""content"": ""blue and white""}]]","[""What color are the walls?"", ""What color are the walls?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000447840.jpg""","""What color are the walls?""","[[{""id"":""g0.0"",""content"":""blue""}],[{""id"":""g1.0"",""content"":""blue, white""},{""id"":""g1.1"",""content"":""blue and white""}]]","[""What color are the walls?"",""What color are the walls?""]","true","value","""All answer the same question""","rhuang29"
"476672","85","Uncertainty QUD","Thu Feb 24 13:02:48 UTC 2022","3","86400","22171","52","Thu Feb 24 13:03:38 UTC 2022","Thu Feb 24 13:04:07 UTC 2022","29","[[{""id"": ""g0.0"", ""content"": ""ice bucket and wine dispensers""}, {""id"": ""g0.1"", ""content"": ""wine tasting buckets""}], [{""id"": ""g1.0"", ""content"": ""buckets""}, {""id"": ""g1.1"", ""content"": ""bucket""}], [{""id"": ""g2.0"", ""content"": ""cups""}], [{""id"": ""g3.0"", ""content"": ""ice bucket""}], [{""id"": ""g4.0"", ""content"": ""wine""}]]","[""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000450317.jpg""","""What is on the table?""","[[{""id"":""g0.0"",""content"":""ice bucket and wine dispensers""},{""id"":""g0.1"",""content"":""wine tasting buckets""}],[{""id"":""g1.0"",""content"":""buckets""},{""id"":""g1.1"",""content"":""bucket""}],[{""id"":""g2.0"",""content"":""cups""}],[{""id"":""g3.0"",""content"":""ice bucket""}],[{""id"":""g4.0"",""content"":""wine""}]]","[""What is on the table?"",""What is on the table?"",""What is on the table?"",""What is on the table?"",""What is on the table?""]","true","value","""All answer the same question""","esteng"
"476672","85","Uncertainty QUD","Thu Feb 24 13:02:48 UTC 2022","3","86400","22332","141","Sat Feb 26 20:20:24 UTC 2022","Sat Feb 26 20:20:46 UTC 2022","22","[[{""id"": ""g0.0"", ""content"": ""ice bucket and wine dispensers""}, {""id"": ""g0.1"", ""content"": ""wine tasting buckets""}], [{""id"": ""g1.0"", ""content"": ""buckets""}, {""id"": ""g1.1"", ""content"": ""bucket""}], [{""id"": ""g2.0"", ""content"": ""cups""}], [{""id"": ""g3.0"", ""content"": ""ice bucket""}], [{""id"": ""g4.0"", ""content"": ""wine""}]]","[""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000450317.jpg""","""What is on the table?""","[[{""id"":""g0.0"",""content"":""ice bucket and wine dispensers""},{""id"":""g0.1"",""content"":""wine tasting buckets""}],[{""id"":""g1.0"",""content"":""buckets""},{""id"":""g1.1"",""content"":""bucket""}],[{""id"":""g2.0"",""content"":""cups""}],[{""id"":""g3.0"",""content"":""ice bucket""}],[{""id"":""g4.0"",""content"":""wine""}]]","[""What is on the table?"",""What is on the table?"",""What is on the table?"",""What is on the table?"",""What is on the table?""]","true","value","""All answer the same question""","ohussei3"
"476672","85","Uncertainty QUD","Thu Feb 24 13:02:48 UTC 2022","3","86400","22441","139","Wed Mar 02 18:54:08 UTC 2022","Wed Mar 02 18:54:16 UTC 2022","8","[[{""id"": ""g0.0"", ""content"": ""ice bucket and wine dispensers""}, {""id"": ""g0.1"", ""content"": ""wine tasting buckets""}], [{""id"": ""g1.0"", ""content"": ""buckets""}, {""id"": ""g1.1"", ""content"": ""bucket""}], [{""id"": ""g2.0"", ""content"": ""cups""}], [{""id"": ""g3.0"", ""content"": ""ice bucket""}], [{""id"": ""g4.0"", ""content"": ""wine""}]]","[""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000450317.jpg""","""What is on the table?""","[[{""id"":""g0.0"",""content"":""ice bucket and wine dispensers""},{""id"":""g0.1"",""content"":""wine tasting buckets""}],[{""id"":""g1.0"",""content"":""buckets""},{""id"":""g1.1"",""content"":""bucket""}],[{""id"":""g2.0"",""content"":""cups""}],[{""id"":""g3.0"",""content"":""ice bucket""}],[{""id"":""g4.0"",""content"":""wine""}]]","[""What is on the table?"",""What is on the table?"",""What is on the table?"",""What is on the table?"",""What is on the table?""]","true","value","""All answer the same question""","rhuang29"
"476673","85","Uncertainty QUD","Thu Feb 24 13:02:48 UTC 2022","3","86400","22172","52","Thu Feb 24 13:04:07 UTC 2022","Thu Feb 24 13:04:15 UTC 2022","8","[[{""id"": ""g0.0"", ""content"": ""motorcycle""}, {""id"": ""g0.1"", ""content"": ""motorcycle show""}, {""id"": ""g0.2"", ""content"": ""motorcycle gathering""}, {""id"": ""g0.3"", ""content"": ""motorcycle event""}], [{""id"": ""g1.0"", ""content"": ""motorcycle rally""}, {""id"": ""g1.1"", ""content"": ""biker""}, {""id"": ""g1.2"", ""content"": ""bike rally""}, {""id"": ""g1.3"", ""content"": ""biker rally""}]]","[""What kind of event is this?"", ""What kind of event is this?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000452597.jpg""","""What kind of event is this?""","[[{""id"":""g0.0"",""content"":""motorcycle""},{""id"":""g0.1"",""content"":""motorcycle show""},{""id"":""g0.2"",""content"":""motorcycle gathering""},{""id"":""g0.3"",""content"":""motorcycle event""}],[{""id"":""g1.0"",""content"":""motorcycle rally""},{""id"":""g1.1"",""content"":""biker""},{""id"":""g1.2"",""content"":""bike rally""},{""id"":""g1.3"",""content"":""biker rally""}]]","[""What kind of event is this?"",""What kind of event is this?""]","true","value","""All answer the same question""","esteng"
