"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.answerGroups","Input.answerQuestions","Input.imgUrl","Input.questionStr","Input.question_id","Answer.answer_groups","Answer.answer_questions","Answer.is_skip","Answer.skipCheck","Answer.skip_reason","Turkle.Username"
"562120","727","jimena_test_for_annotator_uncertainty","Tue Jun 28 14:24:37 UTC 2022","1","86400","24786","52","Thu Jun 30 20:04:35 UTC 2022","Thu Jun 30 20:06:14 UTC 2022","99","[[{""id"": ""g0.5"", ""content"": ""lettuce""}], [{""id"": ""g1.1"", ""content"": ""garnish""}]]","[""What is the bottom left food item with the green colors?"", ""What is the top right food item with the green colors?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000480779.jpg""","""What is the food item with the green colors?""","480779000","[[{""id"":""g0.5"",""content"":""lettuce""}],[{""id"":""g1.1"",""content"":""garnish""}]]","[""What is the bottom left food item with the green colors?"",""What is the top right food item with the green colors?""]","true","value","""A/M""","esteng"
"562121","727","jimena_test_for_annotator_uncertainty","Tue Jun 28 14:24:37 UTC 2022","1","86400","24787","52","Thu Jun 30 20:06:18 UTC 2022","Thu Jun 30 20:06:26 UTC 2022","8","[[{""id"": ""g0.5"", ""content"": ""sauce""}], [{""id"": ""g1.0"", ""content"": ""meat""}], [{""id"": ""g2.0"", ""content"": ""sweet potato""}]]","[""What is and liquid red in the picture?"", ""What is red and animal in the picture?"", ""What vegetable is red in the picture?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000306621.jpg""","""What is red in the picture?""","306621004","[[{""id"":""g0.5"",""content"":""sauce""}],[{""id"":""g1.0"",""content"":""meat""}],[{""id"":""g2.0"",""content"":""sweet potato""}]]","[""What is and liquid red in the picture?"",""What is red and animal in the picture?"",""What vegetable is red in the picture?""]","true","value","""A/M""","esteng"
"562122","727","jimena_test_for_annotator_uncertainty","Tue Jun 28 14:24:37 UTC 2022","1","86400","24788","52","Thu Jun 30 20:06:26 UTC 2022","Thu Jun 30 20:06:35 UTC 2022","9","[[{""id"": ""g0.0"", ""content"": ""celery""}], [{""id"": ""g1.1"", ""content"": ""carrots""}]]","[""What type of green vegetable is on the plate?"", ""What type of orange vegetable is on the plate?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000448653.jpg""","""What type of vegetable is on the plate?""","448653002","[[{""id"":""g0.0"",""content"":""celery""}],[{""id"":""g1.1"",""content"":""carrots""}]]","[""What type of green vegetable is on the plate?"",""What type of orange vegetable is on the plate?""]","true","value","""A/M""","esteng"
"562123","727","jimena_test_for_annotator_uncertainty","Tue Jun 28 14:24:37 UTC 2022","1","86400","24789","52","Thu Jun 30 20:06:35 UTC 2022","Thu Jun 30 20:06:53 UTC 2022","18","[[{""id"": ""g0.0"", ""content"": ""fruit""}], [{""id"": ""g1.5"", ""content"": ""fried""}], [{""id"": ""g2.1"", ""content"": ""donuts & fruit""}]]","[""What type of non fried dessert is this?"", ""What type of fried dessert is this?"", ""What whole type of dessert is this?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000297665.jpg""","""What type of dessert is this?""","297665013","[[{""id"":""g0.0"",""content"":""fruit""}],[{""id"":""g1.5"",""content"":""fried""}],[{""id"":""g2.1"",""content"":""donuts & fruit""}]]","[""What type of non fried dessert is this?"",""What type of fried dessert is this?"",""What whole type of dessert is this?""]","true","value","""A/K, A/M""","esteng"
"562124","727","jimena_test_for_annotator_uncertainty","Tue Jun 28 14:24:37 UTC 2022","1","86400","24790","52","Thu Jun 30 20:06:53 UTC 2022","Thu Jun 30 20:07:30 UTC 2022","37","[[{""id"": ""g0.3"", ""content"": ""parking payment""}], [{""id"": ""g1.0"", ""content"": ""change""}], [{""id"": ""g2.2"", ""content"": ""credit card""}]]","[""What is the small central slot for?"", ""What is the open bottom right slot for?"", ""What is the wide leftmost slot for?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000012556.jpg""","""What is the slot for?""","12556002","[[{""id"":""g0.3"",""content"":""parking payment""}],[{""id"":""g1.0"",""content"":""change""}],[{""id"":""g2.2"",""content"":""credit card""}]]","[""What is the small central slot for?"",""What is the open bottom right slot for?"",""What is the wide leftmost slot for?""]","true","value","""A/D. A/M. ""","esteng"
"562125","727","jimena_test_for_annotator_uncertainty","Tue Jun 28 14:24:37 UTC 2022","1","86400","24791","52","Thu Jun 30 20:07:30 UTC 2022","Thu Jun 30 20:07:48 UTC 2022","18","[[{""id"": ""g0.2"", ""content"": ""limes""}], [{""id"": ""g1.0"", ""content"": ""limes and starfruit""}], [{""id"": ""g2.1"", ""content"": ""banana""}], [{""id"": ""g3.0"", ""content"": ""mangos""}]]","[""What small green fruit is on the newspaper?"", ""What fruits are on the newspaper?"", ""What yellow fruit is on the newspaper?"", ""What round orange fruit is on the newspaper?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000203881.jpg""","""What fruit is on the newspaper?""","203881021","[[{""id"":""g0.2"",""content"":""limes""}],[{""id"":""g1.0"",""content"":""limes and starfruit""}],[{""id"":""g2.1"",""content"":""banana""}],[{""id"":""g3.0"",""content"":""mangos""}]]","[""What small green fruit is on the newspaper?"",""What fruits are on the newspaper?"",""What yellow fruit is on the newspaper?"",""What round orange fruit is on the newspaper?""]","true","value","""A/G. A/M""","esteng"
"562126","727","jimena_test_for_annotator_uncertainty","Tue Jun 28 14:24:37 UTC 2022","1","86400","24792","52","Thu Jun 30 20:07:48 UTC 2022","Thu Jun 30 20:08:24 UTC 2022","36","[[{""id"": ""g0.1"", ""content"": ""ketchup""}], [{""id"": ""g1.1"", ""content"": ""relish""}], [{""id"": ""g2.1"", ""content"": ""bacon, onions, bbq""}]]","[""What sauce condiment is on the hot dogs?"", ""What vegetable condiment is on the hot dogs?"", ""What condiments are on the hot dogs?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000252602.jpg""","""What condiment is on the hot dogs?""","252602002","[[{""id"":""g0.1"",""content"":""ketchup""}],[{""id"":""g1.1"",""content"":""relish""}],[{""id"":""g2.1"",""content"":""bacon, onions, bbq""}]]","[""What sauce condiment is on the hot dogs?"",""What vegetable condiment is on the hot dogs?"",""What condiments are on the hot dogs?""]","true","value","""A/M. A/G. ""","esteng"
"562127","727","jimena_test_for_annotator_uncertainty","Tue Jun 28 14:24:37 UTC 2022","1","86400","24793","52","Thu Jun 30 20:08:24 UTC 2022","Thu Jun 30 20:09:17 UTC 2022","53","[[{""id"": ""g0.4"", ""content"": ""rowboat""}], [{""id"": ""g1.1"", ""content"": ""sailboat""}]]","[""What type of boat is the small one near the front?"", ""What type of boat are the boats in the background?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000466713.jpg""","""What type of boat is this?""","466713012","[[{""id"":""g0.4"",""content"":""rowboat""}],[{""id"":""g1.1"",""content"":""sailboat""}]]","[""What type of boat is the small one near the front?"",""What type of boat are the boats in the background?""]","true","value","""A/M.     ""","esteng"
"562128","727","jimena_test_for_annotator_uncertainty","Tue Jun 28 14:24:37 UTC 2022","1","86400","24794","52","Thu Jun 30 20:09:17 UTC 2022","Thu Jun 30 20:09:49 UTC 2022","32","[[{""id"": ""g0.2"", ""content"": ""slim jim""}], [{""id"": ""g1.4"", ""content"": ""phone""}]]","[""What is the boy holding in his right hand?"", ""What is the boy holding in his left hand?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000333663.jpg""","""What is the boy holding in his hands?""","333663002","[[{""id"":""g0.2"",""content"":""slim jim""}],[{""id"":""g1.4"",""content"":""phone""}]]","[""What is the boy holding in his right hand?"",""What is the boy holding in his left hand?""]","true","value","""A/M. M/B""","esteng"
"562129","727","jimena_test_for_annotator_uncertainty","Tue Jun 28 14:24:37 UTC 2022","1","86400","24795","52","Thu Jun 30 20:09:50 UTC 2022","Thu Jun 30 20:10:11 UTC 2022","21","[[{""id"": ""g0.0"", ""content"": ""door""}], [{""id"": ""g1.3"", ""content"": ""toaster""}], [{""id"": ""g2.0"", ""content"": ""window""}]]","[""What is the white object in the left corner of the picture?"", ""What is the white object in the corner of the kitchen?"", ""What is the white object in the right corner of the picture?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000413984.jpg""","""What is the white object in the corner?""","413984001","[[{""id"":""g0.0"",""content"":""door""}],[{""id"":""g1.3"",""content"":""toaster""}],[{""id"":""g2.0"",""content"":""window""}]]","[""What is the white object in the left corner of the picture?"",""What is the white object in the corner of the kitchen?"",""What is the white object in the right corner of the picture?""]","true","value","""A/L ""","esteng"
