imgUrl,questionStr,answerGroups,answerQuestions,question_id
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000103936.jpg""","""How can you tell this is a reflection?""","[[{""id"": ""g0.0"", ""content"": ""yes""}], [{""id"": ""g1.0"", ""content"": ""letters""}], [{""id"": ""g2.0"", ""content"": ""its transparent""}], [{""id"": ""g3.0"", ""content"": ""it's backwards""}], [{""id"": ""g4.0"", ""content"": ""shine""}], [{""id"": ""g5.0"", ""content"": ""see man taking picture""}, {""id"": ""g5.1"", ""content"": ""man and building on glass""}], [{""id"": ""g6.0"", ""content"": ""dimmer""}], [{""id"": ""g7.0"", ""content"": ""person""}]]","[""How can you tell this is a reflection?"", ""How can you tell this is a reflection?"", ""How can you tell this is a reflection?"", ""How can you tell this is a reflection?"", ""How can you tell this is a reflection?"", ""How can you tell this is a reflection?"", ""How can you tell this is a reflection?"", ""How can you tell this is a reflection?""]",103936001
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000014707.jpg""","""How is the plane flying?""","[[{""id"": ""g0.0"", ""content"": ""engines""}], [{""id"": ""g1.0"", ""content"": ""4000'""}, {""id"": ""g1.1"", ""content"": ""low""}], [{""id"": ""g2.0"", ""content"": ""in sky""}, {""id"": ""g2.1"", ""content"": ""in air""}], [{""id"": ""g3.0"", ""content"": ""yes""}], [{""id"": ""g4.0"", ""content"": ""10000 ft""}], [{""id"": ""g5.0"", ""content"": ""high""}], [{""id"": ""g6.0"", ""content"": ""fuel""}]]","[""How is the plane flying?"", ""How is the plane flying?"", ""How is the plane flying?"", ""How is the plane flying?"", ""How is the plane flying?"", ""How is the plane flying?"", ""How is the plane flying?""]",14707007
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000420496.jpg""","""Why are the lights blurred?""","[[{""id"": ""g0.0"", ""content"": ""motion""}], [{""id"": ""g1.0"", ""content"": ""moving cars""}, {""id"": ""g1.1"", ""content"": ""moving traffic""}, {""id"": ""g1.2"", ""content"": ""cars moving""}], [{""id"": ""g2.0"", ""content"": ""time lapse""}, {""id"": ""g2.1"", ""content"": ""time lapse photography""}], [{""id"": ""g3.0"", ""content"": ""speed""}, {""id"": ""g3.1"", ""content"": ""slow shutter speed""}], [{""id"": ""g4.0"", ""content"": ""picture type""}]]","[""Why are the lights blurred?"", ""Why are the lights blurred?"", ""Why are the lights blurred?"", ""Why are the lights blurred?"", ""Why are the lights blurred?""]",420496002
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000365314.jpg""","""Why are people gathered here?""","[[{""id"": ""g0.0"", ""content"": ""work on motorcycles""}, {""id"": ""g0.1"", ""content"": ""work""}], [{""id"": ""g1.0"", ""content"": ""picnic""}], [{""id"": ""g2.0"", ""content"": ""racing""}], [{""id"": ""g3.0"", ""content"": ""it's fun""}], [{""id"": ""g4.0"", ""content"": ""motorbike gathering""}], [{""id"": ""g5.0"", ""content"": ""bikes""}], [{""id"": ""g6.0"", ""content"": ""sports event""}], [{""id"": ""g7.0"", ""content"": ""race""}], [{""id"": ""g8.0"", ""content"": ""cookout""}]]","[""Why are people gathered here?"", ""Why are people gathered here?"", ""Why are people gathered here?"", ""Why are people gathered here?"", ""Why are people gathered here?"", ""Why are people gathered here?"", ""Why are people gathered here?"", ""Why are people gathered here?"", ""Why are people gathered here?""]",365314011
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000034815.jpg""","""Why are the people wearing helmets?""","[[{""id"": ""g0.0"", ""content"": ""they are bicyclists""}, {""id"": ""g0.1"", ""content"": ""they are biking""}], [{""id"": ""g1.0"", ""content"": ""riding their bicycle""}, {""id"": ""g1.1"", ""content"": ""bike riding""}, {""id"": ""g1.2"", ""content"": ""riding bike""}], [{""id"": ""g2.0"", ""content"": ""safety""}, {""id"": ""g2.1"", ""content"": ""for safety""}], [{""id"": ""g3.0"", ""content"": ""yes""}], [{""id"": ""g4.0"", ""content"": ""bikes""}]]","[""Why are the people wearing helmets?"", ""Why are the people wearing helmets?"", ""Why are the people wearing helmets?"", ""Why are the people wearing helmets?"", ""Why are the people wearing helmets?""]",34815002
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000222006.jpg""","""Why is the hydraulic pump on the street?""","[[{""id"": ""g0.0"", ""content"": ""fire hydrant""}, {""id"": ""g0.1"", ""content"": ""fire""}], [{""id"": ""g1.0"", ""content"": ""for fires""}], [{""id"": ""g2.0"", ""content"": ""water""}], [{""id"": ""g3.0"", ""content"": ""no pump""}, {""id"": ""g3.1"", ""content"": ""no pump present""}], [{""id"": ""g4.0"", ""content"": ""forgotten""}], [{""id"": ""g5.0"", ""content"": ""left there""}], [{""id"": ""g6.0"", ""content"": ""abandoned gas station""}], [{""id"": ""g7.0"", ""content"": ""i don't know""}]]","[""Why is the hydraulic pump on the street?"", ""Why is the hydraulic pump on the street?"", ""Why is the hydraulic pump on the street?"", ""Why is the hydraulic pump on the street?"", ""Why is the hydraulic pump on the street?"", ""Why is the hydraulic pump on the street?"", ""Why is the hydraulic pump on the street?"", ""Why is the hydraulic pump on the street?""]",222006012
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000444419.jpg""","""Why are the animals there?""","[[{""id"": ""g0.0"", ""content"": ""to be eaten""}, {""id"": ""g0.1"", ""content"": ""used for milk""}], [{""id"": ""g1.0"", ""content"": ""containment""}], [{""id"": ""g2.0"", ""content"": ""cow""}], [{""id"": ""g3.0"", ""content"": ""farm""}], [{""id"": ""g4.0"", ""content"": ""captive""}], [{""id"": ""g5.0"", ""content"": ""grazing""}], [{""id"": ""g6.0"", ""content"": ""pasture""}]]","[""Why are the animals there?"", ""Why are the animals there?"", ""Why are the animals there?"", ""Why are the animals there?"", ""Why are the animals there?"", ""Why are the animals there?"", ""Why are the animals there?""]",444419036
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000218116.jpg""","""What is the netting for?""","[[{""id"": ""g0.0"", ""content"": ""to keep ball inside area""}, {""id"": ""g0.1"", ""content"": ""don't get hit by ball""}], [{""id"": ""g1.0"", ""content"": ""protect crowd""}, {""id"": ""g1.1"", ""content"": ""protect spectators""}], [{""id"": ""g2.0"", ""content"": ""baseball""}], [{""id"": ""g3.0"", ""content"": ""catch balls""}], [{""id"": ""g4.0"", ""content"": ""ball""}], [{""id"": ""g5.0"", ""content"": ""safety""}], [{""id"": ""g6.0"", ""content"": ""protection""}], [{""id"": ""g7.0"", ""content"": ""protect public""}]]","[""What is the netting for?"", ""What is the netting for?"", ""What is the netting for?"", ""What is the netting for?"", ""What is the netting for?"", ""What is the netting for?"", ""What is the netting for?"", ""What is the netting for?""]",218116000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000293174.jpg""","""Why is this a piece of art?""","[[{""id"": ""g0.0"", ""content"": ""color""}], [{""id"": ""g1.0"", ""content"": ""no""}], [{""id"": ""g2.0"", ""content"": ""visually appealing""}], [{""id"": ""g3.0"", ""content"": ""it is""}, {""id"": ""g3.1"", ""content"": ""it isn't""}], [{""id"": ""g4.0"", ""content"": ""esthetically pleasing""}], [{""id"": ""g5.0"", ""content"": ""museum""}], [{""id"": ""g6.0"", ""content"": ""bathroom""}], [{""id"": ""g7.0"", ""content"": ""decorated""}]]","[""Why is this a piece of art?"", ""Why is this a piece of art?"", ""Why is this a piece of art?"", ""Why is this a piece of art?"", ""Why is this a piece of art?"", ""Why is this a piece of art?"", ""Why is this a piece of art?"", ""Why is this a piece of art?""]",293174000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000440511.jpg""","""Why are the elephant lying down?""","[[{""id"": ""g0.0"", ""content"": ""resting""}], [{""id"": ""g1.0"", ""content"": ""tired""}], [{""id"": ""g2.0"", ""content"": ""circus""}], [{""id"": ""g3.0"", ""content"": ""they are not""}], [{""id"": ""g4.0"", ""content"": ""it's not""}], [{""id"": ""g5.0"", ""content"": ""training""}], [{""id"": ""g6.0"", ""content"": ""no""}], [{""id"": ""g7.0"", ""content"": ""playing""}]]","[""Why are the elephant lying down?"", ""Why are the elephant lying down?"", ""Why are the elephant lying down?"", ""Why are the elephant lying down?"", ""Why are the elephant lying down?"", ""Why are the elephant lying down?"", ""Why are the elephant lying down?"", ""Why are the elephant lying down?""]",440511000
