imgUrl,questionStr,answerGroups,answerQuestions,question_id
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000213103.jpg""","""What font is above the man?""","[[{""id"": ""g0.0"", ""content"": ""arial""}], [{""id"": ""g1.0"", ""content"": ""white""}], [{""id"": ""g2.0"", ""content"": ""sanskrit""}, {""id"": ""g2.1"", ""content"": ""it is reversed""}], [{""id"": ""g3.0"", ""content"": ""johnson""}], [{""id"": ""g4.0"", ""content"": ""zywiec""}], [{""id"": ""g5.0"", ""content"": ""wordart""}], [{""id"": ""g6.0"", ""content"": ""times new roman""}]]","[""What font is above the man?"", ""What font is above the man?"", ""What font is above the man?"", ""What font is above the man?"", ""What font is above the man?"", ""What font is above the man?"", ""What font is above the man?""]",213103000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000389775.jpg""","""Where is the water bottle?""","[[{""id"": ""g0.0"", ""content"": ""top left of table""}, {""id"": ""g0.1"", ""content"": ""on table""}], [{""id"": ""g1.0"", ""content"": ""behind backpack""}, {""id"": ""g1.1"", ""content"": ""next to backpack""}, {""id"": ""g1.2"", ""content"": ""left of backpack""}, {""id"": ""g1.3"", ""content"": ""left side of table by backpack""}], [{""id"": ""g2.0"", ""content"": ""left corner""}, {""id"": ""g2.1"", ""content"": ""left back""}, {""id"": ""g2.2"", ""content"": ""left side""}]]","[""Where is the water bottle?"", ""Where is the water bottle?"", ""Where is the water bottle?""]",389775000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000353761.jpg""","""What nation uses this type of train for mass transportation?""","[[{""id"": ""g0.0"", ""content"": ""england""}], [{""id"": ""g1.0"", ""content"": ""united states""}], [{""id"": ""g2.0"", ""content"": ""usa""}], [{""id"": ""g3.0"", ""content"": ""china""}], [{""id"": ""g4.0"", ""content"": ""belgium""}], [{""id"": ""g5.0"", ""content"": ""scotland""}], [{""id"": ""g6.0"", ""content"": ""japan""}], [{""id"": ""g7.0"", ""content"": ""sweden""}]]","[""What nation uses this type of train for mass transportation?"", ""What nation uses this type of train for mass transportation?"", ""What nation uses this type of train for mass transportation?"", ""What nation uses this type of train for mass transportation?"", ""What nation uses this type of train for mass transportation?"", ""What nation uses this type of train for mass transportation?"", ""What nation uses this type of train for mass transportation?"", ""What nation uses this type of train for mass transportation?""]",353761000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000488583.jpg""","""Which bag has a green tag?""","[[{""id"": ""g0.0"", ""content"": ""green suitcase""}, {""id"": ""g0.1"", ""content"": ""blue suitcase""}], [{""id"": ""g1.0"", ""content"": ""left bag""}], [{""id"": ""g2.0"", ""content"": ""duffel bag""}, {""id"": ""g2.1"", ""content"": ""duffle bag""}], [{""id"": ""g3.0"", ""content"": ""left""}], [{""id"": ""g4.0"", ""content"": ""none""}]]","[""Which bag has a green tag?"", ""Which bag has a green tag?"", ""Which bag has a green tag?"", ""Which bag has a green tag?"", ""Which bag has a green tag?""]",488583004
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000119947.jpg""","""Where is the plane taking off too?""","[[{""id"": ""g0.0"", ""content"": ""england""}], [{""id"": ""g1.0"", ""content"": ""unsure""}], [{""id"": ""g2.0"", ""content"": ""sky""}], [{""id"": ""g3.0"", ""content"": ""europe""}], [{""id"": ""g4.0"", ""content"": ""its destination""}], [{""id"": ""g5.0"", ""content"": ""united states""}], [{""id"": ""g6.0"", ""content"": ""san francisco""}], [{""id"": ""g7.0"", ""content"": ""chicago""}, {""id"": ""g7.1"", ""content"": ""detroit""}]]","[""Where is the plane taking off too?"", ""Where is the plane taking off too?"", ""Where is the plane taking off too?"", ""Where is the plane taking off too?"", ""Where is the plane taking off too?"", ""Where is the plane taking off too?"", ""Where is the plane taking off too?"", ""Where is the plane taking off too?""]",119947000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000369156.jpg""","""Which vehicle is for military use?""","[[{""id"": ""g0.0"", ""content"": ""yes""}], [{""id"": ""g1.0"", ""content"": ""green on right""}, {""id"": ""g1.1"", ""content"": ""on right""}, {""id"": ""g1.2"", ""content"": ""right one""}, {""id"": ""g1.3"", ""content"": ""right""}], [{""id"": ""g2.0"", ""content"": ""olive green one""}, {""id"": ""g2.1"", ""content"": ""green one""}]]","[""Which vehicle is for military use?"", ""Which vehicle is for military use?"", ""Which vehicle is for military use?""]",369156000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000335925.jpg""","""What does the symbol on the top mean?""","[[{""id"": ""g0.0"", ""content"": ""cross""}, {""id"": ""g0.1"", ""content"": ""jesus' cross""}], [{""id"": ""g1.0"", ""content"": ""religion""}, {""id"": ""g1.1"", ""content"": ""christianity""}], [{""id"": ""g2.0"", ""content"": ""crucifix""}], [{""id"": ""g3.0"", ""content"": ""church""}], [{""id"": ""g4.0"", ""content"": ""christian cross""}, {""id"": ""g4.1"", ""content"": ""symbol at top is cross""}]]","[""What does the symbol on the top mean?"", ""What does the symbol on the top mean?"", ""What does the symbol on the top mean?"", ""What does the symbol on the top mean?"", ""What does the symbol on the top mean?""]",335925001
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000371007.jpg""","""Which country's flag is displayed?""","[[{""id"": ""g0.0"", ""content"": ""rainbow flags""}], [{""id"": ""g1.0"", ""content"": ""australia""}], [{""id"": ""g2.0"", ""content"": ""banners not flag""}, {""id"": ""g2.1"", ""content"": ""no flags""}], [{""id"": ""g3.0"", ""content"": ""no country""}], [{""id"": ""g4.0"", ""content"": ""china""}], [{""id"": ""g5.0"", ""content"": ""france""}], [{""id"": ""g6.0"", ""content"": ""don't know""}], [{""id"": ""g7.0"", ""content"": ""usa""}]]","[""Which country's flag is displayed?"", ""Which country's flag is displayed?"", ""Which country's flag is displayed?"", ""Which country's flag is displayed?"", ""Which country's flag is displayed?"", ""Which country's flag is displayed?"", ""Which country's flag is displayed?"", ""Which country's flag is displayed?""]",371007012
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000416482.jpg""","""Who is this tennis player?""","[[{""id"": ""g0.0"", ""content"": ""man""}], [{""id"": ""g1.0"", ""content"": ""murray""}], [{""id"": ""g2.0"", ""content"": ""peter""}], [{""id"": ""g3.0"", ""content"": ""dad""}], [{""id"": ""g4.0"", ""content"": ""on right""}], [{""id"": ""g5.0"", ""content"": ""tennis stud""}], [{""id"": ""g6.0"", ""content"": ""coach""}], [{""id"": ""g7.0"", ""content"": ""unknown""}]]","[""Who is this tennis player?"", ""Who is this tennis player?"", ""Who is this tennis player?"", ""Who is this tennis player?"", ""Who is this tennis player?"", ""Who is this tennis player?"", ""Who is this tennis player?"", ""Who is this tennis player?""]",416482007
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000013944.jpg""","""What is the man in?""","[[{""id"": ""g0.0"", ""content"": ""crane box""}], [{""id"": ""g1.0"", ""content"": ""electrician""}], [{""id"": ""g2.0"", ""content"": ""basket""}], [{""id"": ""g3.0"", ""content"": ""bucket lift""}, {""id"": ""g3.1"", ""content"": ""lift""}], [{""id"": ""g4.0"", ""content"": ""forklift""}], [{""id"": ""g5.0"", ""content"": ""bucket""}], [{""id"": ""g6.0"", ""content"": ""extender""}], [{""id"": ""g7.0"", ""content"": ""tumblr""}]]","[""What is the man in?"", ""What is the man in?"", ""What is the man in?"", ""What is the man in?"", ""What is the man in?"", ""What is the man in?"", ""What is the man in?"", ""What is the man in?""]",13944000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000233384.jpg""","""Who is the oldest of the three men?""","[[{""id"": ""g0.0"", ""content"": ""on top with balding hair""}, {""id"": ""g0.1"", ""content"": ""one at top""}, {""id"": ""g0.2"", ""content"": ""man at top of picture""}], [{""id"": ""g1.0"", ""content"": ""far right, bald man""}, {""id"": ""g1.1"", ""content"": ""bald man""}], [{""id"": ""g2.0"", ""content"": ""far right""}, {""id"": ""g2.1"", ""content"": ""man on far end""}], [{""id"": ""g3.0"", ""content"": ""on top""}, {""id"": ""g3.1"", ""content"": ""top""}], [{""id"": ""g4.0"", ""content"": ""unknown""}]]","[""Who is the oldest of the three men?"", ""Who is the oldest of the three men?"", ""Who is the oldest of the three men?"", ""Who is the oldest of the three men?"", ""Who is the oldest of the three men?""]",233384000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000145311.jpg""","""How is the weather in the photo?""","[[{""id"": ""g0.0"", ""content"": ""good""}, {""id"": ""g0.1"", ""content"": ""nice""}], [{""id"": ""g1.0"", ""content"": ""cloudy""}], [{""id"": ""g2.0"", ""content"": ""sunny""}], [{""id"": ""g3.0"", ""content"": ""cloudy, windy day""}, {""id"": ""g3.1"", ""content"": ""windy""}], [{""id"": ""g4.0"", ""content"": ""overcast""}]]","[""How is the weather in the photo?"", ""How is the weather in the photo?"", ""How is the weather in the photo?"", ""How is the weather in the photo?"", ""How is the weather in the photo?""]",145311000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000208945.jpg""","""What type of material is the green stuff they are standing on?""","[[{""id"": ""g0.0"", ""content"": ""astroturf""}], [{""id"": ""g1.0"", ""content"": ""turf""}], [{""id"": ""g2.0"", ""content"": ""carpet""}, {""id"": ""g2.1"", ""content"": ""outdoor carpet""}], [{""id"": ""g3.0"", ""content"": ""plastic grass""}, {""id"": ""g3.1"", ""content"": ""plastic""}], [{""id"": ""g4.0"", ""content"": ""artificial turf""}]]","[""What type of material is the green stuff they are standing on?"", ""What type of material is the green stuff they are standing on?"", ""What type of material is the green stuff they are standing on?"", ""What type of material is the green stuff they are standing on?"", ""What type of material is the green stuff they are standing on?""]",208945003
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000208629.jpg""","""Whose bikes are these?""","[[{""id"": ""g0.0"", ""content"": ""people""}, {""id"": ""g0.1"", ""content"": ""customers""}], [{""id"": ""g1.0"", ""content"": ""bikers""}, {""id"": ""g1.1"", ""content"": ""men's""}], [{""id"": ""g2.0"", ""content"": ""people's""}, {""id"": ""g2.1"", ""content"": ""motorcycles""}], [{""id"": ""g3.0"", ""content"": ""no ones""}]]","[""Whose bikes are these?"", ""Whose bikes are these?"", ""Whose bikes are these?"", ""Whose bikes are these?""]",208629009
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000217141.jpg""","""What is the sign saying?""","[[{""id"": ""g0.0"", ""content"": ""yield to pedestrians""}, {""id"": ""g0.1"", ""content"": ""watch out for construction workers""}], [{""id"": ""g1.0"", ""content"": ""no parking""}], [{""id"": ""g2.0"", ""content"": ""caution""}], [{""id"": ""g3.0"", ""content"": ""questioning""}], [{""id"": ""g4.0"", ""content"": ""carrying objects""}], [{""id"": ""g5.0"", ""content"": ""yield""}], [{""id"": ""g6.0"", ""content"": ""no skateboards""}], [{""id"": ""g7.0"", ""content"": ""stop""}], [{""id"": ""g8.0"", ""content"": ""nothing""}]]","[""What is the sign saying?"", ""What is the sign saying?"", ""What is the sign saying?"", ""What is the sign saying?"", ""What is the sign saying?"", ""What is the sign saying?"", ""What is the sign saying?"", ""What is the sign saying?"", ""What is the sign saying?""]",217141006
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000375043.jpg""","""What seems to be the appropriate attire for this event?""","[[{""id"": ""g0.0"", ""content"": ""uniform""}, {""id"": ""g0.1"", ""content"": ""school uniform""}], [{""id"": ""g1.0"", ""content"": ""not sure""}, {""id"": ""g1.1"", ""content"": ""yes""}, {""id"": ""g1.2"", ""content"": ""everyone""}], [{""id"": ""g2.0"", ""content"": ""hat, blue shirt, stuffed animal""}, {""id"": ""g2.1"", ""content"": ""zoo themed""}], [{""id"": ""g3.0"", ""content"": ""formal casual""}, {""id"": ""g3.1"", ""content"": ""casual""}], [{""id"": ""g4.0"", ""content"": ""collar shirts""}]]","[""What seems to be the appropriate attire for this event?"", ""What seems to be the appropriate attire for this event?"", ""What seems to be the appropriate attire for this event?"", ""What seems to be the appropriate attire for this event?"", ""What seems to be the appropriate attire for this event?""]",375043004
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000406356.jpg""","""What is this man's name?""","[[{""id"": ""g0.0"", ""content"": ""neezy""}], [{""id"": ""g1.0"", ""content"": ""tyrone""}], [{""id"": ""g2.0"", ""content"": ""mike""}], [{""id"": ""g3.0"", ""content"": ""neezy""}, {""id"": ""g3.1"", ""content"": ""unknown""}], [{""id"": ""g4.0"", ""content"": ""james""}], [{""id"": ""g5.0"", ""content"": ""bill""}]]","[""What is this man's name?"", ""What is this man's name?"", ""What is this man's name?"", ""What is this man's name?"", ""What is this man's name?"", ""What is this man's name?""]",406356000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000418736.jpg""","""Why are they standing?""","[[{""id"": ""g0.0"", ""content"": ""to stand""}, {""id"": ""g0.1"", ""content"": ""looking at furniture""}, {""id"": ""g0.2"", ""content"": ""to look at floor""}, {""id"": ""g0.3"", ""content"": ""to leave""}], [{""id"": ""g1.0"", ""content"": ""just arrived""}, {""id"": ""g1.1"", ""content"": ""waiting""}, {""id"": ""g1.2"", ""content"": ""just walked in""}], [{""id"": ""g2.0"", ""content"": ""leaving""}]]","[""Why are they standing?"", ""Why are they standing?"", ""Why are they standing?""]",418736011
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000381314.jpg""","""What is the boy wearing?""","[[{""id"": ""g0.0"", ""content"": ""tee shirt""}, {""id"": ""g0.1"", ""content"": ""shirt""}], [{""id"": ""g1.0"", ""content"": ""nothing""}], [{""id"": ""g2.0"", ""content"": ""pants""}], [{""id"": ""g3.0"", ""content"": ""shirt, pants, cap""}], [{""id"": ""g4.0"", ""content"": ""t shirt""}], [{""id"": ""g5.0"", ""content"": ""shirt and shorts""}], [{""id"": ""g6.0"", ""content"": ""clothes""}], [{""id"": ""g7.0"", ""content"": ""hat""}]]","[""What is the boy wearing?"", ""What is the boy wearing?"", ""What is the boy wearing?"", ""What is the boy wearing?"", ""What is the boy wearing?"", ""What is the boy wearing?"", ""What is the boy wearing?"", ""What is the boy wearing?""]",381314004
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000446677.jpg""","""Why is that man wearing a nice, crisp-looking white dress shirt in a livestock pen?""","[[{""id"": ""g0.0"", ""content"": ""going to work""}, {""id"": ""g0.1"", ""content"": ""works there""}], [{""id"": ""g1.0"", ""content"": ""he is judge""}], [{""id"": ""g2.0"", ""content"": ""to impress girls""}], [{""id"": ""g3.0"", ""content"": ""competition""}], [{""id"": ""g4.0"", ""content"": ""don't know""}], [{""id"": ""g5.0"", ""content"": ""tourist""}], [{""id"": ""g6.0"", ""content"": ""showing them""}], [{""id"": ""g7.0"", ""content"": ""photos""}]]","[""Why is that man wearing a nice, crisp-looking white dress shirt in a livestock pen?"", ""Why is that man wearing a nice, crisp-looking white dress shirt in a livestock pen?"", ""Why is that man wearing a nice, crisp-looking white dress shirt in a livestock pen?"", ""Why is that man wearing a nice, crisp-looking white dress shirt in a livestock pen?"", ""Why is that man wearing a nice, crisp-looking white dress shirt in a livestock pen?"", ""Why is that man wearing a nice, crisp-looking white dress shirt in a livestock pen?"", ""Why is that man wearing a nice, crisp-looking white dress shirt in a livestock pen?"", ""Why is that man wearing a nice, crisp-looking white dress shirt in a livestock pen?""]",446677004
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000413472.jpg""","""What kind of donut is that?""","[[{""id"": ""g0.0"", ""content"": ""vegetable""}], [{""id"": ""g1.0"", ""content"": ""jelly filled""}], [{""id"": ""g2.0"", ""content"": ""filled""}], [{""id"": ""g3.0"", ""content"": ""powdered""}], [{""id"": ""g4.0"", ""content"": ""jelly""}], [{""id"": ""g5.0"", ""content"": ""frosted""}], [{""id"": ""g6.0"", ""content"": ""sugar""}], [{""id"": ""g7.0"", ""content"": ""glazed""}]]","[""What kind of donut is that?"", ""What kind of donut is that?"", ""What kind of donut is that?"", ""What kind of donut is that?"", ""What kind of donut is that?"", ""What kind of donut is that?"", ""What kind of donut is that?"", ""What kind of donut is that?""]",413472013
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000150546.jpg""","""Where is this bus likely to be located?""","[[{""id"": ""g0.0"", ""content"": ""england""}], [{""id"": ""g1.0"", ""content"": ""united states""}], [{""id"": ""g2.0"", ""content"": ""new york""}], [{""id"": ""g3.0"", ""content"": ""bus station""}], [{""id"": ""g4.0"", ""content"": ""parking lot""}], [{""id"": ""g5.0"", ""content"": ""outside""}], [{""id"": ""g6.0"", ""content"": ""america""}], [{""id"": ""g7.0"", ""content"": ""bus stop""}]]","[""Where is this bus likely to be located?"", ""Where is this bus likely to be located?"", ""Where is this bus likely to be located?"", ""Where is this bus likely to be located?"", ""Where is this bus likely to be located?"", ""Where is this bus likely to be located?"", ""Where is this bus likely to be located?"", ""Where is this bus likely to be located?""]",150546000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000392606.jpg""","""Where is the bus going?""","[[{""id"": ""g0.0"", ""content"": ""forward""}], [{""id"": ""g1.0"", ""content"": ""straight""}], [{""id"": ""g2.0"", ""content"": ""france""}], [{""id"": ""g3.0"", ""content"": ""north""}], [{""id"": ""g4.0"", ""content"": ""down road""}], [{""id"": ""g5.0"", ""content"": ""hop off""}], [{""id"": ""g6.0"", ""content"": ""left""}], [{""id"": ""g7.0"", ""content"": ""unknown""}], [{""id"": ""g8.0"", ""content"": ""london""}]]","[""Where is the bus going?"", ""Where is the bus going?"", ""Where is the bus going?"", ""Where is the bus going?"", ""Where is the bus going?"", ""Where is the bus going?"", ""Where is the bus going?"", ""Where is the bus going?"", ""Where is the bus going?""]",392606027
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000110642.jpg""","""Where are the cows going?""","[[{""id"": ""g0.0"", ""content"": ""barn""}], [{""id"": ""g1.0"", ""content"": ""forward""}], [{""id"": ""g2.0"", ""content"": ""downhill""}], [{""id"": ""g3.0"", ""content"": ""home""}], [{""id"": ""g4.0"", ""content"": ""down road""}], [{""id"": ""g5.0"", ""content"": ""no idea""}], [{""id"": ""g6.0"", ""content"": ""farm""}], [{""id"": ""g7.0"", ""content"": ""walking""}]]","[""Where are the cows going?"", ""Where are the cows going?"", ""Where are the cows going?"", ""Where are the cows going?"", ""Where are the cows going?"", ""Where are the cows going?"", ""Where are the cows going?"", ""Where are the cows going?""]",110642002
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000116650.jpg""","""What kind of traffic marker is standing in the middle of the road?""","[[{""id"": ""g0.0"", ""content"": ""crosswalk""}], [{""id"": ""g1.0"", ""content"": ""caution marker""}, {""id"": ""g1.1"", ""content"": ""caution""}], [{""id"": ""g2.0"", ""content"": ""box""}], [{""id"": ""g3.0"", ""content"": ""cone""}], [{""id"": ""g4.0"", ""content"": ""barricade""}], [{""id"": ""g5.0"", ""content"": ""barrier""}], [{""id"": ""g6.0"", ""content"": ""stop sign""}], [{""id"": ""g7.0"", ""content"": ""alert""}]]","[""What kind of traffic marker is standing in the middle of the road?"", ""What kind of traffic marker is standing in the middle of the road?"", ""What kind of traffic marker is standing in the middle of the road?"", ""What kind of traffic marker is standing in the middle of the road?"", ""What kind of traffic marker is standing in the middle of the road?"", ""What kind of traffic marker is standing in the middle of the road?"", ""What kind of traffic marker is standing in the middle of the road?"", ""What kind of traffic marker is standing in the middle of the road?""]",116650005
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000378613.jpg""","""What are the sheep laying down on?""","[[{""id"": ""g0.0"", ""content"": ""concert""}], [{""id"": ""g1.0"", ""content"": ""ledge""}], [{""id"": ""g2.0"", ""content"": ""concrete""}], [{""id"": ""g3.0"", ""content"": ""huge rock""}], [{""id"": ""g4.0"", ""content"": ""cement""}], [{""id"": ""g5.0"", ""content"": ""rocks""}], [{""id"": ""g6.0"", ""content"": ""yes""}], [{""id"": ""g7.0"", ""content"": ""hut""}], [{""id"": ""g8.0"", ""content"": ""bunker""}]]","[""What are the sheep laying down on?"", ""What are the sheep laying down on?"", ""What are the sheep laying down on?"", ""What are the sheep laying down on?"", ""What are the sheep laying down on?"", ""What are the sheep laying down on?"", ""What are the sheep laying down on?"", ""What are the sheep laying down on?"", ""What are the sheep laying down on?""]",378613000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000105564.jpg""","""Why isn't someone getting rid of all this junk?""","[[{""id"": ""g0.0"", ""content"": ""laziness""}], [{""id"": ""g1.0"", ""content"": ""hoarder""}], [{""id"": ""g2.0"", ""content"": ""no one there""}, {""id"": ""g2.1"", ""content"": ""saving it""}], [{""id"": ""g3.0"", ""content"": ""moving""}], [{""id"": ""g4.0"", ""content"": ""they are hoarders""}, {""id"": ""g4.1"", ""content"": ""owners are hoarders""}]]","[""Why isn't someone getting rid of all this junk?"", ""Why isn't someone getting rid of all this junk?"", ""Why isn't someone getting rid of all this junk?"", ""Why isn't someone getting rid of all this junk?"", ""Why isn't someone getting rid of all this junk?""]",105564010
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000201724.jpg""","""How old is the boy?""","[[{""id"": ""g0.0"", ""content"": ""75""}], [{""id"": ""g1.0"", ""content"": ""old""}, {""id"": ""g1.1"", ""content"": ""old man""}], [{""id"": ""g2.0"", ""content"": ""95""}], [{""id"": ""g3.0"", ""content"": ""60""}, {""id"": ""g3.1"", ""content"": ""80""}], [{""id"": ""g4.0"", ""content"": ""72""}, {""id"": ""g4.1"", ""content"": ""79""}]]","[""How old is the boy?"", ""How old is the boy?"", ""How old is the boy?"", ""How old is the boy?"", ""How old is the boy?""]",201724002
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000016839.jpg""","""Where is the sign stopping you from going?""","[[{""id"": ""g0.0"", ""content"": ""in""}], [{""id"": ""g1.0"", ""content"": ""straight""}], [{""id"": ""g2.0"", ""content"": ""inside train tracks""}, {""id"": ""g2.1"", ""content"": ""dead end""}, {""id"": ""g2.2"", ""content"": ""in tunnel""}], [{""id"": ""g3.0"", ""content"": ""into garage""}, {""id"": ""g3.1"", ""content"": ""in garage""}], [{""id"": ""g4.0"", ""content"": ""inside building""}, {""id"": ""g4.1"", ""content"": ""into building""}]]","[""Where is the sign stopping you from going?"", ""Where is the sign stopping you from going?"", ""Where is the sign stopping you from going?"", ""Where is the sign stopping you from going?"", ""Where is the sign stopping you from going?""]",16839001
