HITId,HITTypeId,Title,CreationTime,MaxAssignments,AssignmentDurationInSeconds,AssignmentId,WorkerId,AcceptTime,SubmitTime,WorkTimeInSeconds,Input.answerGroups,Input.answerQuestions,Input.imgUrl,Input.questionStr,Answer.answer_groups,Answer.answer_questions,Answer.is_skip,Answer.skipCheck,Answer.skip_reason,Turkle.Username,RequesterAnnotation,AutoApprovalTime,Last30DaysApprovalRate,LifetimeApprovalRate,RequesterFeedback,Reject,Keywords,NumberOfSimilarHITs,AssignmentStatus,Expiration,Description,Last7DaysApprovalRate,ApprovalTime,RejectionTime,AutoApprovalDelayInSeconds,Input.question_id,LifetimeInSeconds,Reward,Approve
476670,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A002,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""chopped""}], [{""id"": ""g1.0"", ""content"": ""sliced""}]]","[""Was the apple sliced or chopped?"", ""Was the apple sliced or chopped?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000445745.jpg""","""Was the apple sliced or chopped?""","[[{""id"": ""g1.0"", ""content"": ""sliced""}, {""id"": ""g0.0"", ""content"": ""chopped""}]]","[""Was the apple sliced or chopped?""]",false,,,A002,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,445745002,placeholder,placeholder,placeholder
476671,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A002,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""blue""}], [{""id"": ""g1.0"", ""content"": ""blue and white""}, {""id"": ""g1.1"", ""content"": ""blue, white""}]]","[""What color are the walls?"", ""What color are the walls?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000447840.jpg""","""What color are the walls?""","[[{""id"": ""g0.0"", ""content"": ""blue""}], [{""id"": ""g1.0"", ""content"": ""blue and white""}, {""id"": ""g1.1"", ""content"": ""blue, white""}]]","[""What color is the paint on the walls?"", ""What color are the walls and trim??""]",false,,,A002,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,447840008,placeholder,placeholder,placeholder
476671,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A004,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""blue""}], [{""id"": ""g1.0"", ""content"": ""blue and white""}, {""id"": ""g1.1"", ""content"": ""blue, white""}]]","[""What color are the walls?"", ""What color are the walls?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000447840.jpg""","""What color are the walls?""","[[{""id"": ""g0.0"", ""content"": ""blue""}], [{""id"": ""g1.0"", ""content"": ""blue and white""}, {""id"": ""g1.1"", ""content"": ""blue, white""}]]","[""What color are the upper half of the walls?"", ""What colors are the walls and the moldings?""]",false,,,A004,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,447840008,placeholder,placeholder,placeholder
476672,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A005,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""bear pins""}], [{""id"": ""g1.0"", ""content"": ""toys""}], [{""id"": ""g2.0"", ""content"": ""teddy bears""}, {""id"": ""g2.1"", ""content"": ""tiny teddy bears""}, {""id"": ""g2.2"", ""content"": ""teddy bear""}, {""id"": ""g2.3"", ""content"": ""teddy bear clips""}], [{""id"": ""g3.0"", ""content"": ""bears""}], [{""id"": ""g4.0"", ""content"": ""stuffed bears""}, {""id"": ""g4.1"", ""content"": ""stuffed animals""}]]","[""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000289583.jpg""","""What is on the table?""","[[{""id"": ""g2.3"", ""content"": ""teddy bear clips""}, {""id"": ""g0.0"", ""content"": ""bear pins""}], [{""id"": ""g4.1"", ""content"": ""stuffed animals""}, {""id"": ""g1.0"", ""content"": ""toys""}], [{""id"": ""g4.0"", ""content"": ""stuffed bears""}, {""id"": ""g3.0"", ""content"": ""bears""}, {""id"": ""g2.0"", ""content"": ""teddy bears""}, {""id"": ""g2.1"", ""content"": ""tiny teddy bears""}, {""id"": ""g2.2"", ""content"": ""teddy bear""}]]","[""What fastener is on the table?"", ""What play item is on the table?"", ""What toy animal is on the table?""]",false,,,A005,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,289583000,placeholder,placeholder,placeholder
476673,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A002,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""car show""}, {""id"": ""g0.1"", ""content"": ""old car show""}], [{""id"": ""g1.0"", ""content"": ""bike show""}, {""id"": ""g1.1"", ""content"": ""classic motorcycle show""}, {""id"": ""g1.2"", ""content"": ""motorcycle show""}], [{""id"": ""g2.0"", ""content"": ""picnic""}], [{""id"": ""g3.0"", ""content"": ""motorcycle""}], [{""id"": ""g4.0"", ""content"": ""race""}]]","[""What kind of event is this?"", ""What kind of event is this?"", ""What kind of event is this?"", ""What kind of event is this?"", ""What kind of event is this?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000265967.jpg""","""What kind of event is this?""","[[{""id"": ""g0.0"", ""content"": ""car show""}, {""id"": ""g0.1"", ""content"": ""old car show""}], [{""id"": ""g1.0"", ""content"": ""bike show""}, {""id"": ""g1.1"", ""content"": ""classic motorcycle show""}, {""id"": ""g3.0"", ""content"": ""motorcycle""}, {""id"": ""g1.2"", ""content"": ""motorcycle show""}]]","[""What kind of event is this?"", ""What kind of event is this?""]",false,,,A002,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,265967000,placeholder,placeholder,placeholder
476673,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A003,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""car show""}, {""id"": ""g0.1"", ""content"": ""old car show""}], [{""id"": ""g1.0"", ""content"": ""bike show""}, {""id"": ""g1.1"", ""content"": ""classic motorcycle show""}, {""id"": ""g1.2"", ""content"": ""motorcycle show""}], [{""id"": ""g2.0"", ""content"": ""picnic""}], [{""id"": ""g3.0"", ""content"": ""motorcycle""}], [{""id"": ""g4.0"", ""content"": ""race""}]]","[""What kind of event is this?"", ""What kind of event is this?"", ""What kind of event is this?"", ""What kind of event is this?"", ""What kind of event is this?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000265967.jpg""","""What kind of event is this?""","[[{""id"": ""g0.0"", ""content"": ""car show""}, {""id"": ""g3.0"", ""content"": ""motorcycle""}, {""id"": ""g1.1"", ""content"": ""classic motorcycle show""}, {""id"": ""g1.0"", ""content"": ""bike show""}, {""id"": ""g1.2"", ""content"": ""motorcycle show""}, {""id"": ""g0.1"", ""content"": ""old car show""}], [{""id"": ""g2.0"", ""content"": ""picnic""}, {""id"": ""g4.0"", ""content"": ""race""}]]","[""What kind of event is this highlighting?"", ""What kinds of events will occur in this ?""]",false,,,A003,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,265967000,placeholder,placeholder,placeholder
476673,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A005,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""car show""}, {""id"": ""g0.1"", ""content"": ""old car show""}], [{""id"": ""g1.0"", ""content"": ""bike show""}, {""id"": ""g1.1"", ""content"": ""classic motorcycle show""}, {""id"": ""g1.2"", ""content"": ""motorcycle show""}], [{""id"": ""g2.0"", ""content"": ""picnic""}], [{""id"": ""g3.0"", ""content"": ""motorcycle""}], [{""id"": ""g4.0"", ""content"": ""race""}]]","[""What kind of event is this?"", ""What kind of event is this?"", ""What kind of event is this?"", ""What kind of event is this?"", ""What kind of event is this?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000265967.jpg""","""What kind of event is this?""","[[{""id"": ""g3.0"", ""content"": ""motorcycle""}, {""id"": ""g1.1"", ""content"": ""classic motorcycle show""}, {""id"": ""g1.2"", ""content"": ""motorcycle show""}], [{""id"": ""g4.0"", ""content"": ""race""}, {""id"": ""g2.0"", ""content"": ""picnic""}]]","[""What kind of vehicle is this event for?"", ""What activity happens at this event?""]",false,,,A005,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,265967000,placeholder,placeholder,placeholder
476675,85,Uncertainty QUD,Thu Feb 24 13:02:48 UTC 2022,3,86400,22174,A001,Thu Feb 24 13:06:00 UTC 2022,Thu Feb 24 13:06:48 UTC 2022,48,"[[{""id"": ""g0.0"", ""content"": ""on ground floor""}, {""id"": ""g0.1"", ""content"": ""on patio""}, {""id"": ""g0.2"", ""content"": ""farmers market""}, {""id"": ""g0.3"", ""content"": ""over seating""}, {""id"": ""g0.4"", ""content"": ""in picture""}], [{""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""tables""}, {""id"": ""g1.2"", ""content"": ""over tables""}]]","[""Where are the umbrellas?"", ""Where are the umbrellas?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000456109.jpg""","""Where are the umbrellas?""","[[{""id"":""g0.0"",""content"":""on ground floor""},{""id"":""g0.1"",""content"":""on patio""},{""id"":""g0.2"",""content"":""farmers market""}],[{""id"":""g0.3"",""content"":""over seating""},{""id"":""g1.0"",""content"":""above tables""},{""id"":""g1.1"",""content"":""tables""},{""id"":""g1.2"",""content"":""over tables""}]]","[""What are the umbrellas on?"",""What are the umbrellas over?""]",false,,"""All answer the same question""",A001,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,456109001,placeholder,placeholder,placeholder
476675,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A002,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""on patio""}, {""id"": ""g0.1"", ""content"": ""farmers market""}, {""id"": ""g0.2"", ""content"": ""on ground floor""}, {""id"": ""g0.3"", ""content"": ""in picture""}, {""id"": ""g0.4"", ""content"": ""over seating""}], [{""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""over tables""}, {""id"": ""g1.2"", ""content"": ""tables""}]]","[""Where are the umbrellas?"", ""Where are the umbrellas?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000456109.jpg""","""Where are the umbrellas?""","[[{""id"": ""g0.0"", ""content"": ""on patio""}, {""id"": ""g0.1"", ""content"": ""farmers market""}, {""id"": ""g0.2"", ""content"": ""on ground floor""}], [{""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""over tables""}, {""id"": ""g0.4"", ""content"": ""over seating""}, {""id"": ""g1.2"", ""content"": ""tables""}]]","[""Where are the umbrellas located?"", ""What are the umbrellas over?""]",false,,,A002,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,456109001,placeholder,placeholder,placeholder
476675,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,A004,placeholder,placeholder,placeholder,"[[{""id"": ""g0.0"", ""content"": ""on patio""}, {""id"": ""g0.1"", ""content"": ""farmers market""}, {""id"": ""g0.2"", ""content"": ""on ground floor""}, {""id"": ""g0.3"", ""content"": ""in picture""}, {""id"": ""g0.4"", ""content"": ""over seating""}], [{""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""over tables""}, {""id"": ""g1.2"", ""content"": ""tables""}]]","[""Where are the umbrellas?"", ""Where are the umbrellas?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000456109.jpg""","""Where are the umbrellas?""","[[{""id"": ""g0.0"", ""content"": ""on patio""}, {""id"": ""g0.1"", ""content"": ""farmers market""}, {""id"": ""g0.2"", ""content"": ""on ground floor""}], [{""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""over tables""}, {""id"": ""g0.4"", ""content"": ""over seating""}, {""id"": ""g1.2"", ""content"": ""tables""}], []]","[""Where is the outdoor setting of the umbrellas?"", ""Where are the umbrellas in relation to the objects they are covering?"", """"]",false,,,A004,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,456109001,placeholder,placeholder,placeholder
