imgUrl,questionStr,answerGroups,answerQuestions
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000445745.jpg""","""Was the apple sliced or chopped?""","[[{""id"": ""g0.0"", ""content"": ""chopped""}], [{""id"": ""g1.0"", ""content"": ""sliced""}]]","[""Was the apple sliced or chopped?"", ""Was the apple sliced or chopped?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000447840.jpg""","""What color are the walls?""","[[{""id"": ""g0.0"", ""content"": ""blue""}], [{""id"": ""g1.0"", ""content"": ""blue, white""}, {""id"": ""g1.1"", ""content"": ""blue and white""}]]","[""What color are the walls?"", ""What color are the walls?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000450317.jpg""","""What is on the table?""","[[{""id"": ""g0.0"", ""content"": ""ice bucket and wine dispensers""}, {""id"": ""g0.1"", ""content"": ""wine tasting buckets""}], [{""id"": ""g1.0"", ""content"": ""buckets""}, {""id"": ""g1.1"", ""content"": ""bucket""}], [{""id"": ""g2.0"", ""content"": ""cups""}], [{""id"": ""g3.0"", ""content"": ""ice bucket""}], [{""id"": ""g4.0"", ""content"": ""wine""}]]","[""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?"", ""What is on the table?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000452597.jpg""","""What kind of event is this?""","[[{""id"": ""g0.0"", ""content"": ""motorcycle""}, {""id"": ""g0.1"", ""content"": ""motorcycle show""}, {""id"": ""g0.2"", ""content"": ""motorcycle gathering""}, {""id"": ""g0.3"", ""content"": ""motorcycle event""}], [{""id"": ""g1.0"", ""content"": ""motorcycle rally""}, {""id"": ""g1.1"", ""content"": ""biker""}, {""id"": ""g1.2"", ""content"": ""bike rally""}, {""id"": ""g1.3"", ""content"": ""biker rally""}]]","[""What kind of event is this?"", ""What kind of event is this?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000045492.jpg""","""Where is the ambulance?""","[[{""id"": ""g0.0"", ""content"": ""under catwalk""}, {""id"": ""g0.1"", ""content"": ""street""}, {""id"": ""g0.2"", ""content"": ""on street""}, {""id"": ""g0.3"", ""content"": ""stopped on side of road""}, {""id"": ""g0.4"", ""content"": ""behind people""}], [{""id"": ""g1.0"", ""content"": ""left side""}, {""id"": ""g1.1"", ""content"": ""left""}, {""id"": ""g1.2"", ""content"": ""bottom left""}, {""id"": ""g1.3"", ""content"": ""on left""}]]","[""Where is the ambulance?"", ""Where is the ambulance?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000456109.jpg""","""Where are the umbrellas?""","[[{""id"": ""g0.0"", ""content"": ""on ground floor""}, {""id"": ""g0.1"", ""content"": ""on patio""}, {""id"": ""g0.2"", ""content"": ""farmers market""}, {""id"": ""g0.3"", ""content"": ""over seating""}, {""id"": ""g0.4"", ""content"": ""in picture""}], [{""id"": ""g1.0"", ""content"": ""above tables""}, {""id"": ""g1.1"", ""content"": ""tables""}, {""id"": ""g1.2"", ""content"": ""over tables""}]]","[""Where are the umbrellas?"", ""Where are the umbrellas?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000045836.jpg""","""What animal is on the blanket?""","[[{""id"": ""g0.0"", ""content"": ""teddy bears""}, {""id"": ""g0.1"", ""content"": ""teddy bear""}, {""id"": ""g0.2"", ""content"": ""bears""}], [{""id"": ""g1.0"", ""content"": ""bear""}]]","[""What animal is on the blanket?"", ""What animal is on the blanket?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000460694.jpg""","""Was a beverage served?""","[[{""id"": ""g0.0"", ""content"": ""latte""}, {""id"": ""g0.1"", ""content"": ""coffee""}], [{""id"": ""g1.0"", ""content"": ""yes""}]]","[""Was a beverage served?"", ""Was a beverage served?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000466845.jpg""","""Are the animals or people caged in?""","[[{""id"": ""g0.0"", ""content"": ""people""}, {""id"": ""g0.1"", ""content"": ""yes""}, {""id"": ""g0.2"", ""content"": ""people caged in""}], [{""id"": ""g1.0"", ""content"": ""animals""}, {""id"": ""g1.1"", ""content"": ""animal""}]]","[""Are the animals or people caged in?"", ""Are the animals or people caged in?""]"
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000467311.jpg""","""Where is the bus?""","[[{""id"": ""g0.0"", ""content"": ""street""}, {""id"": ""g0.1"", ""content"": ""on street""}], [{""id"": ""g1.0"", ""content"": ""right""}, {""id"": ""g1.1"", ""content"": ""in front of hummer""}, {""id"": ""g1.2"", ""content"": ""on road""}, {""id"": ""g1.3"", ""content"": ""in front of yellow vehicle""}, {""id"": ""g1.4"", ""content"": ""in front""}]]","[""Where is the bus?"", ""Where is the bus?""]"
