HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.imgUrl,Input.questionStr,Input.answerGroups,Input.answerQuestions,Input.question_id,Answer.answer_groups,Answer.answer_questions,Answer.is_skip,Answer.skipCheck,Answer.skip_reason,Approve,Reject,Turkle.Username
3BS6ERDL93CPDFE5K2LQJ5LHUHHD6B,33KTOXRB2LZZN9Y4XOPU2F79B0CRFE,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Wed May 11 08:34:06 PDT 2022,1,BatchId:4737495;OriginalHitTemplateId:928390828;,10800,345600,Sat May 21 08:34:06 PDT 2022,,,3U5JL4WY5LERJID2IGYO5XZEEDC4XM,A003,Submitted,Sat May 14 10:08:03 PDT 2022,Sat May 14 10:11:10 PDT 2022,Wed May 18 10:11:10 PDT 2022,,,,187,100% (759/759),100% (448/448),100% (248/248),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000175142.jpg""","""What type of benches are in the background?""","[[{""id"": ""g0.0"", ""content"": ""swings""}], [{""id"": ""g1.0"", ""content"": ""swinging""}, {""id"": ""g1.1"", ""content"": ""swinging ones""}], [{""id"": ""g2.0"", ""content"": ""tree""}], [{""id"": ""g3.0"", ""content"": ""swing benches""}, {""id"": ""g3.1"", ""content"": ""swinging benches""}], [{""id"": ""g4.0"", ""content"": ""dwings""}]]","[""What type of benches are in the background?"", ""What type of benches are in the background?"", ""What type of benches are in the background?"", ""What type of benches are in the background?"", ""What type of benches are in the background?""]",175142015,"[[{""id"":""g3.1"",""content"":""swinging benches""},{""id"":""g3.0"",""content"":""swing benches""},{""id"":""g1.1"",""content"":""swinging ones""},{""id"":""g1.0"",""content"":""swinging""},{""id"":""g0.0"",""content"":""swings""}],[{""id"":""g2.0"",""content"":""tree""}]]","[""What name type of benches are in the background?"",""What type of foliage near the benches is in the background?""]",false,,"""All answer the same question""",,,A003
306W7JMRYY3J2WZ9ZLRI8TT8XRVB8O,33KTOXRB2LZZN9Y4XOPU2F79B0CRFE,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Wed May 11 08:34:19 PDT 2022,1,BatchId:4737495;OriginalHitTemplateId:928390828;,10800,345600,Sat May 21 08:34:19 PDT 2022,,,3018Q3ZVOJVMOB77II2NTIZQ53TRAO,A003,Submitted,Fri May 13 12:45:25 PDT 2022,Fri May 13 12:50:37 PDT 2022,Tue May 17 12:50:37 PDT 2022,,,,312,100% (759/759),100% (448/448),100% (248/248),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000031587.jpg""","""What are the pictures for?""","[[{""id"": ""g0.0"", ""content"": ""personal""}], [{""id"": ""g1.0"", ""content"": ""photo album""}], [{""id"": ""g2.0"", ""content"": ""memories""}], [{""id"": ""g3.0"", ""content"": ""to look at""}, {""id"": ""g3.1"", ""content"": ""to hang on walls""}], [{""id"": ""g4.0"", ""content"": ""evidence""}], [{""id"": ""g5.0"", ""content"": ""decoration""}], [{""id"": ""g6.0"", ""content"": ""viewing""}], [{""id"": ""g7.0"", ""content"": ""family""}], [{""id"": ""g8.0"", ""content"": ""not sure""}]]","[""What are the pictures for?"", ""What are the pictures for?"", ""What are the pictures for?"", ""What are the pictures for?"", ""What are the pictures for?"", ""What are the pictures for?"", ""What are the pictures for?"", ""What are the pictures for?"", ""What are the pictures for?""]",31587003,"[[{""id"":""g2.0"",""content"":""memories""},{""id"":""g4.0"",""content"":""evidence""},{""id"":""g6.0"",""content"":""viewing""},{""id"":""g5.0"",""content"":""decoration""},{""id"":""g3.1"",""content"":""to hang on walls""},{""id"":""g3.0"",""content"":""to look at""}],[{""id"":""g7.0"",""content"":""family""}],[{""id"":""g1.0"",""content"":""photo album""}],[{""id"":""g0.0"",""content"":""personal""}]]","[""What are the pictures for possibly?"",""What are the pictures of?"",""What do the pictures comprise?"",""Who are the pictures of?""]",false,,"""All answer the same question""",,,A003
3BFF0DJK8XH1H28ZD5O8PEZVFS2STV,33KTOXRB2LZZN9Y4XOPU2F79B0CRFE,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Wed May 11 08:34:06 PDT 2022,1,BatchId:4737495;OriginalHitTemplateId:928390828;,10800,345600,Sat May 21 08:34:06 PDT 2022,,,35BLDD71I72FIQWW3UNWB8F2ZUSZV5,A003,Submitted,Fri May 13 14:00:31 PDT 2022,Fri May 13 14:02:29 PDT 2022,Tue May 17 14:02:29 PDT 2022,,,,118,100% (759/759),100% (448/448),100% (248/248),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000023538.jpg""","""What is on the plate?""","[[{""id"": ""g0.0"", ""content"": ""french fries""}, {""id"": ""g0.1"", ""content"": ""white""}, {""id"": ""g0.2"", ""content"": ""steak and fries""}], [{""id"": ""g1.0"", ""content"": ""diner""}], [{""id"": ""g2.0"", ""content"": ""food""}, {""id"": ""g2.1"", ""content"": ""fries""}], [{""id"": ""g3.0"", ""content"": ""fries, steak, pickle, sauce, ci[s""}, {""id"": ""g3.1"", ""content"": ""dinner""}], [{""id"": ""g4.0"", ""content"": ""meal""}]]","[""What is on the plate?"", ""What is on the plate?"", ""What is on the plate?"", ""What is on the plate?"", ""What is on the plate?""]",23538002,"[[{""id"":""g3.0"",""content"":""fries, steak, pickle, sauce, ci[s""},{""id"":""g2.1"",""content"":""fries""},{""id"":""g0.0"",""content"":""french fries""},{""id"":""g0.2"",""content"":""steak and fries""}],[{""id"":""g1.0"",""content"":""diner""},{""id"":""g3.1"",""content"":""dinner""},{""id"":""g4.0"",""content"":""meal""}],[{""id"":""g2.0"",""content"":""food""}],[{""id"":""g0.1"",""content"":""white""}]]","[""What food is on the plate?"",""What meal is on the plate?"",""What is on the plate called?"",""What color is the plate?""]",false,,"""All answer the same question""",,,A003
388FBO7JZRY0IBFOFFULY1H47VCNY3,33KTOXRB2LZZN9Y4XOPU2F79B0CRFE,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Wed May 11 08:34:06 PDT 2022,1,BatchId:4737495;OriginalHitTemplateId:928390828;,10800,345600,Sat May 21 08:34:06 PDT 2022,,,39RP059MEIY0A5Z7JO622UPMHTGMBH,A003,Submitted,Thu May 12 08:06:44 PDT 2022,Thu May 12 08:09:29 PDT 2022,Mon May 16 08:09:29 PDT 2022,,,,165,100% (759/759),100% (448/448),100% (248/248),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000277857.jpg""","""What kind of food is this?""","[[{""id"": ""g0.0"", ""content"": ""salad""}, {""id"": ""g0.1"", ""content"": ""italian/pasta""}], [{""id"": ""g1.0"", ""content"": ""meat""}, {""id"": ""g1.1"", ""content"": ""italian""}], [{""id"": ""g2.0"", ""content"": ""salad and pasta""}, {""id"": ""g2.1"", ""content"": ""chicken""}, {""id"": ""g2.2"", ""content"": ""veggies""}], [{""id"": ""g3.0"", ""content"": ""lasagna and salad""}], [{""id"": ""g4.0"", ""content"": ""dinner""}]]","[""What kind of food is this?"", ""What kind of food is this?"", ""What kind of food is this?"", ""What kind of food is this?"", ""What kind of food is this?""]",277857030,"[[{""id"":""g2.2"",""content"":""veggies""},{""id"":""g2.1"",""content"":""chicken""},{""id"":""g2.0"",""content"":""salad and pasta""},{""id"":""g1.1"",""content"":""italian""},{""id"":""g1.0"",""content"":""meat""},{""id"":""g3.0"",""content"":""lasagna and salad""},{""id"":""g0.0"",""content"":""salad""},{""id"":""g0.1"",""content"":""italian/pasta""}],[{""id"":""g4.0"",""content"":""dinner""}]]","[""What kind of food is this on the plate?"",""What kind of food is this for what meal?""]",false,,"""All answer the same question""",,,A003
306W7JMRYY3J2WZ9ZLRI8TT8XRV8BL,33KTOXRB2LZZN9Y4XOPU2F79B0CRFE,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Wed May 11 08:34:19 PDT 2022,1,BatchId:4737495;OriginalHitTemplateId:928390828;,10800,345600,Sat May 21 08:34:19 PDT 2022,,,3Q5ZZ9ZEVPKJ00GUOD56UQOZN0Q85F,A003,Submitted,Sat May 14 13:38:52 PDT 2022,Sat May 14 13:41:24 PDT 2022,Wed May 18 13:41:24 PDT 2022,,,,152,100% (759/759),100% (448/448),100% (248/248),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000128503.jpg""","""Where are the traffic lights?""","[[{""id"": ""g0.0"", ""content"": ""pole""}], [{""id"": ""g1.0"", ""content"": ""above road""}, {""id"": ""g1.1"", ""content"": ""above street""}], [{""id"": ""g2.0"", ""content"": ""there are none""}], [{""id"": ""g3.0"", ""content"": ""air""}], [{""id"": ""g4.0"", ""content"": ""red""}], [{""id"": ""g5.0"", ""content"": ""ahead""}], [{""id"": ""g6.0"", ""content"": ""on street""}, {""id"": ""g6.1"", ""content"": ""street""}], [{""id"": ""g7.0"", ""content"": ""in front""}]]","[""Where are the traffic lights?"", ""Where are the traffic lights?"", ""Where are the traffic lights?"", ""Where are the traffic lights?"", ""Where are the traffic lights?"", ""Where are the traffic lights?"", ""Where are the traffic lights?"", ""Where are the traffic lights?""]",128503003,"[[{""id"":""g0.0"",""content"":""pole""}],[{""id"":""g6.0"",""content"":""on street""},{""id"":""g6.1"",""content"":""street""},{""id"":""g1.0"",""content"":""above road""},{""id"":""g1.1"",""content"":""above street""}],[{""id"":""g3.0"",""content"":""air""}],[{""id"":""g4.0"",""content"":""red""}],[{""id"":""g7.0"",""content"":""in front""},{""id"":""g5.0"",""content"":""ahead""}]]","[""What are the traffic lights on?"",""Where are the traffic lights placed?"",""Where are the traffic lights seemingly?"",""What color are the traffic lights directionally?"",""Where are the traffic lights seen in photo?""]",false,,"""All answer the same question""",,,A003
3LN50BUKPVGGLXK2CFIN8IK3YV9LP5,33KTOXRB2LZZN9Y4XOPU2F79B0CRFE,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Wed May 11 08:34:19 PDT 2022,1,BatchId:4737495;OriginalHitTemplateId:928390828;,10800,345600,Sat May 21 08:34:19 PDT 2022,,,3BDCF01OGYZCHVAXT4J7AS8Y2ZGLY5,A003,Submitted,Thu May 12 16:33:08 PDT 2022,Thu May 12 16:35:49 PDT 2022,Mon May 16 16:35:49 PDT 2022,,,,161,100% (759/759),100% (448/448),100% (248/248),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000431062.jpg""","""What kind of skiers are they?""","[[{""id"": ""g0.0"", ""content"": ""cross country""}], [{""id"": ""g1.0"", ""content"": ""young""}], [{""id"": ""g2.0"", ""content"": ""expert""}], [{""id"": ""g3.0"", ""content"": ""male""}], [{""id"": ""g4.0"", ""content"": ""professional""}], [{""id"": ""g5.0"", ""content"": ""women skiers""}], [{""id"": ""g6.0"", ""content"": ""obstacle course""}], [{""id"": ""g7.0"", ""content"": ""downhill""}], [{""id"": ""g8.0"", ""content"": ""skiing""}]]","[""What kind of skiers are they?"", ""What kind of skiers are they?"", ""What kind of skiers are they?"", ""What kind of skiers are they?"", ""What kind of skiers are they?"", ""What kind of skiers are they?"", ""What kind of skiers are they?"", ""What kind of skiers are they?"", ""What kind of skiers are they?""]",431062004,"[[{""id"":""g6.0"",""content"":""obstacle course""},{""id"":""g7.0"",""content"":""downhill""},{""id"":""g0.0"",""content"":""cross country""}],[{""id"":""g1.0"",""content"":""young""}],[{""id"":""g4.0"",""content"":""professional""},{""id"":""g2.0"",""content"":""expert""}],[{""id"":""g5.0"",""content"":""women skiers""},{""id"":""g3.0"",""content"":""male""}]]","[""What kind of skiing are they doing?"",""What kind of skiers are they in age?"",""What kind of skiers are they in skills?"",""What kind of skiers are they in gender?""]",false,,"""All answer the same question""",,,A003
3TD33TP5DL7XLKSOWJBW4KZ3NFVBAS,33KTOXRB2LZZN9Y4XOPU2F79B0CRFE,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Wed May 11 08:34:20 PDT 2022,1,BatchId:4737495;OriginalHitTemplateId:928390828;,10800,345600,Sat May 21 08:34:20 PDT 2022,,,3SPJ03342286M5MXQJ7UUDV6YGLYJ2,A003,Submitted,Sat May 14 13:23:57 PDT 2022,Sat May 14 13:26:04 PDT 2022,Wed May 18 13:26:04 PDT 2022,,,,127,100% (759/759),100% (448/448),100% (248/248),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000240511.jpg""","""What kind of roof is on the house?""","[[{""id"": ""g0.0"", ""content"": ""hip""}], [{""id"": ""g1.0"", ""content"": ""tiles""}], [{""id"": ""g2.0"", ""content"": ""gray singles""}], [{""id"": ""g3.0"", ""content"": ""steel""}], [{""id"": ""g4.0"", ""content"": ""shingle""}], [{""id"": ""g5.0"", ""content"": ""shingles""}], [{""id"": ""g6.0"", ""content"": ""gray""}], [{""id"": ""g7.0"", ""content"": ""modern""}], [{""id"": ""g8.0"", ""content"": ""wooden""}]]","[""What kind of roof is on the house?"", ""What kind of roof is on the house?"", ""What kind of roof is on the house?"", ""What kind of roof is on the house?"", ""What kind of roof is on the house?"", ""What kind of roof is on the house?"", ""What kind of roof is on the house?"", ""What kind of roof is on the house?"", ""What kind of roof is on the house?""]",240511002,"[[{""id"":""g0.0"",""content"":""hip""}],[{""id"":""g8.0"",""content"":""wooden""},{""id"":""g4.0"",""content"":""shingle""},{""id"":""g5.0"",""content"":""shingles""},{""id"":""g3.0"",""content"":""steel""},{""id"":""g2.0"",""content"":""gray singles""},{""id"":""g1.0"",""content"":""tiles""}],[{""id"":""g6.0"",""content"":""gray""}],[{""id"":""g7.0"",""content"":""modern""}]]","[""What architectural kind of roof is on the house?"",""What kind of roof material is on the house?"",""What kind of roof color is on the house?"",""What kind of roof is on the house timewise?""]",false,,"""All answer the same question""",,,A003
3T2EL38U0MPWL326QB00JH50A05QXN,33KTOXRB2LZZN9Y4XOPU2F79B0CRFE,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Wed May 11 08:34:20 PDT 2022,1,BatchId:4737495;OriginalHitTemplateId:928390828;,10800,345600,Sat May 21 08:34:20 PDT 2022,,,3R2UR8A0IBLVNBNK10DXJV5JVYOXOP,A003,Submitted,Thu May 12 16:10:16 PDT 2022,Thu May 12 16:12:24 PDT 2022,Mon May 16 16:12:24 PDT 2022,,,,128,100% (759/759),100% (448/448),100% (248/248),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000371965.jpg""","""What is the man showing off?""","[[{""id"": ""g0.0"", ""content"": ""game""}], [{""id"": ""g1.0"", ""content"": ""his skills""}], [{""id"": ""g2.0"", ""content"": ""skills""}], [{""id"": ""g3.0"", ""content"": ""arms""}], [{""id"": ""g4.0"", ""content"": ""muscle""}], [{""id"": ""g5.0"", ""content"": ""his gameplay""}], [{""id"": ""g6.0"", ""content"": ""wii""}], [{""id"": ""g7.0"", ""content"": ""his arm""}], [{""id"": ""g8.0"", ""content"": ""no""}]]","[""What is the man showing off?"", ""What is the man showing off?"", ""What is the man showing off?"", ""What is the man showing off?"", ""What is the man showing off?"", ""What is the man showing off?"", ""What is the man showing off?"", ""What is the man showing off?"", ""What is the man showing off?""]",371965013,"[[{""id"":""g4.0"",""content"":""muscle""},{""id"":""g3.0"",""content"":""arms""},{""id"":""g7.0"",""content"":""his arm""}],[{""id"":""g5.0"",""content"":""his gameplay""},{""id"":""g1.0"",""content"":""his skills""},{""id"":""g2.0"",""content"":""skills""},{""id"":""g0.0"",""content"":""game""}],[{""id"":""g6.0"",""content"":""wii""}]]","[""What body part is the man showing off?"",""What ability is the man showing off?"",""What game is the man showing off?""]",false,,"""All answer the same question""",,,A003
3D06DR5225OT4BWLN815I0AXZEZAMG,33KTOXRB2LZZN9Y4XOPU2F79B0CRFE,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Wed May 11 08:34:06 PDT 2022,1,BatchId:4737495;OriginalHitTemplateId:928390828;,10800,345600,Sat May 21 08:34:06 PDT 2022,,,3RWE2M8QWIF580HXX9ODVSI3VKW0NM,A003,Submitted,Fri May 13 13:13:16 PDT 2022,Fri May 13 13:15:20 PDT 2022,Tue May 17 13:15:20 PDT 2022,,,,124,100% (759/759),100% (448/448),100% (248/248),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000325981.jpg""","""Where is a man holding a gun?""","[[{""id"": ""g0.0"", ""content"": ""picture on wall""}, {""id"": ""g0.1"", ""content"": ""no""}], [{""id"": ""g1.0"", ""content"": ""nowhere?""}, {""id"": ""g1.1"", ""content"": ""no gun""}], [{""id"": ""g2.0"", ""content"": ""right""}, {""id"": ""g2.1"", ""content"": ""nowhere""}], [{""id"": ""g3.0"", ""content"": ""in photo""}], [{""id"": ""g4.0"", ""content"": ""nowhere""}]]","[""Where is a man holding a gun?"", ""Where is a man holding a gun?"", ""Where is a man holding a gun?"", ""Where is a man holding a gun?"", ""Where is a man holding a gun?""]",325981001,"[[{""id"":""g3.0"",""content"":""in photo""},{""id"":""g0.0"",""content"":""picture on wall""}],[{""id"":""g2.0"",""content"":""right""}]]","[""Where is a man holding a gun found?"",""Where is a man holding a gun in this photo?""]",false,,"""All answer the same question""",,,A003
3UEBBGULPFT7DAI27QEJNB2I9GFFUQ,33KTOXRB2LZZN9Y4XOPU2F79B0CRFE,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Wed May 11 08:34:06 PDT 2022,1,BatchId:4737495;OriginalHitTemplateId:928390828;,10800,345600,Sat May 21 08:34:06 PDT 2022,,,3CFVK00FWMQAYB0RNLOFR1O53VCL66,A003,Submitted,Sat May 14 10:42:56 PDT 2022,Sat May 14 10:43:44 PDT 2022,Wed May 18 10:43:44 PDT 2022,,,,48,100% (759/759),100% (448/448),100% (248/248),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000333831.jpg""","""What birthday is this?""","[[{""id"": ""g0.0"", ""content"": ""boy""}], [{""id"": ""g1.0"", ""content"": ""5th""}], [{""id"": ""g2.0"", ""content"": ""boy's""}], [{""id"": ""g3.0"", ""content"": ""4""}, {""id"": ""g3.1"", ""content"": ""0""}, {""id"": ""g3.2"", ""content"": ""5""}], [{""id"": ""g4.0"", ""content"": ""4""}]]","[""What birthday is this?"", ""What birthday is this?"", ""What birthday is this?"", ""What birthday is this?"", ""What birthday is this?""]",333831001,"[[{""id"":""g2.0"",""content"":""boy's""},{""id"":""g0.0"",""content"":""boy""}],[{""id"":""g4.0"",""content"":""4""},{""id"":""g3.0"",""content"":""4""},{""id"":""g1.0"",""content"":""5th""},{""id"":""g3.1"",""content"":""0""},{""id"":""g3.2"",""content"":""5""}]]","[""What gender birthday is this?"",""What birthday year is this for?""]",false,,"""All answer the same question""",,,A003
