HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.imgUrl,Input.questionStr,Input.answerGroups,Input.answerQuestions,Input.question_id,Answer.answer_groups,Answer.answer_questions,Answer.is_skip,Answer.skipCheck,Answer.skip_reason,Approve,Reject,Turkle.Username
3VLL1PIENQTI5MP5CGWHRXQB2PIZOX,3V815QQ2BDQXQCFYBW7PGLL8M6FA41,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Thu May 05 06:58:50 PDT 2022,1,BatchId:4732992;OriginalHitTemplateId:928390828;,10800,345600,Sun May 15 06:58:50 PDT 2022,,,3PIWWX1FJKBGRGRY4J6RKQGIKNSJJU,A002,Submitted,Sat May 07 09:28:36 PDT 2022,Sat May 07 10:35:32 PDT 2022,Wed May 11 10:35:32 PDT 2022,,,,4016,100% (343/343),100% (202/202),100% (201/201),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000480779.jpg""","""What is the food item with the green colors?""","[[{""id"": ""g0.0"", ""content"": ""lettuce""}], [{""id"": ""g1.0"", ""content"": ""vegetables""}], [{""id"": ""g2.0"", ""content"": ""salad""}], [{""id"": ""g3.0"", ""content"": ""slaw""}], [{""id"": ""g4.0"", ""content"": ""pasta""}], [{""id"": ""g5.0"", ""content"": ""garnish""}], [{""id"": ""g6.0"", ""content"": ""broccoli""}], [{""id"": ""g7.0"", ""content"": ""herb""}]]","[""What is the food item with the green colors?"", ""What is the food item with the green colors?"", ""What is the food item with the green colors?"", ""What is the food item with the green colors?"", ""What is the food item with the green colors?"", ""What is the food item with the green colors?"", ""What is the food item with the green colors?"", ""What is the food item with the green colors?""]",480779000,"[[{""id"":""g4.0"",""content"":""pasta""},{""id"":""g3.0"",""content"":""slaw""},{""id"":""g6.0"",""content"":""broccoli""},{""id"":""g2.0"",""content"":""salad""},{""id"":""g1.0"",""content"":""vegetables""},{""id"":""g0.0"",""content"":""lettuce""}],[{""id"":""g7.0"",""content"":""herb""},{""id"":""g5.0"",""content"":""garnish""}]]","[""What is the bottom left food item with the green colors?"",""What is the top right food item with the green colors?""]",false,,"""All answer the same question""",,,A002
3YLPJ8OXX8IPWYF8SETNGE4VDYKX4O,3V815QQ2BDQXQCFYBW7PGLL8M6FA41,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Thu May 05 06:58:38 PDT 2022,1,BatchId:4732992;OriginalHitTemplateId:928390828;,10800,345600,Sun May 15 06:58:38 PDT 2022,,,36ZN444YTS3YXGYP2EDWGLI466BOIC,A002,Submitted,Sun May 08 13:57:51 PDT 2022,Sun May 08 14:00:48 PDT 2022,Thu May 12 14:00:48 PDT 2022,,,,177,100% (343/343),100% (202/202),100% (201/201),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000306621.jpg""","""What is red in the picture?""","[[{""id"": ""g0.0"", ""content"": ""sauce""}], [{""id"": ""g1.0"", ""content"": ""glaze""}], [{""id"": ""g2.0"", ""content"": ""spices""}], [{""id"": ""g3.0"", ""content"": ""meat""}], [{""id"": ""g4.0"", ""content"": ""seasoning""}], [{""id"": ""g5.0"", ""content"": ""sweet potato""}], [{""id"": ""g6.0"", ""content"": ""red peppers""}], [{""id"": ""g7.0"", ""content"": ""spice""}]]","[""What is red in the picture?"", ""What is red in the picture?"", ""What is red in the picture?"", ""What is red in the picture?"", ""What is red in the picture?"", ""What is red in the picture?"", ""What is red in the picture?"", ""What is red in the picture?""]",306621004,"[[{""id"":""g7.0"",""content"":""spice""},{""id"":""g6.0"",""content"":""red peppers""},{""id"":""g4.0"",""content"":""seasoning""},{""id"":""g2.0"",""content"":""spices""},{""id"":""g1.0"",""content"":""glaze""},{""id"":""g0.0"",""content"":""sauce""}],[{""id"":""g3.0"",""content"":""meat""}],[{""id"":""g5.0"",""content"":""sweet potato""}]]","[""What is and liquid red in the picture?"",""What is red and animal in the picture?"",""What vegetable is red in the picture?""]",false,,"""All answer the same question""",,,A002
39XCQ6V3KY9U92ZC5W37LTXPGQH568,3V815QQ2BDQXQCFYBW7PGLL8M6FA41,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Thu May 05 06:58:51 PDT 2022,1,BatchId:4732992;OriginalHitTemplateId:928390828;,10800,345600,Sun May 15 06:58:51 PDT 2022,,,3WETL7AQWUDXZ3AOCWAA39GO6T953O,A002,Submitted,Sun May 08 13:52:51 PDT 2022,Sun May 08 13:57:11 PDT 2022,Thu May 12 13:57:11 PDT 2022,,,,260,100% (343/343),100% (202/202),100% (201/201),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000448653.jpg""","""What type of vegetable is on the plate?""","[[{""id"": ""g0.0"", ""content"": ""celery""}, {""id"": ""g0.1"", ""content"": ""carrots/celery""}], [{""id"": ""g1.0"", ""content"": ""carrot""}], [{""id"": ""g2.0"", ""content"": ""carrots, celery, mushrooms""}], [{""id"": ""g3.0"", ""content"": ""celery, carrots""}, {""id"": ""g3.1"", ""content"": ""carrots""}], [{""id"": ""g4.0"", ""content"": ""carrot, celery""}, {""id"": ""g4.1"", ""content"": ""mushroom, carrot, & celery""}]]","[""What type of vegetable is on the plate?"", ""What type of vegetable is on the plate?"", ""What type of vegetable is on the plate?"", ""What type of vegetable is on the plate?"", ""What type of vegetable is on the plate?""]",448653002,"[[{""id"":""g0.0"",""content"":""celery""}],[{""id"":""g1.0"",""content"":""carrot""},{""id"":""g3.1"",""content"":""carrots""}]]","[""What type of green vegetable is on the plate?"",""What type of orange vegetable is on the plate?""]",false,,"""All answer the same question""",,,A002
3IKMEYR0LW099K1EPHVAX5ZVXBA2K9,3V815QQ2BDQXQCFYBW7PGLL8M6FA41,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Thu May 05 06:58:52 PDT 2022,1,BatchId:4732992;OriginalHitTemplateId:928390828;,10800,345600,Sun May 15 06:58:52 PDT 2022,,,32AT8R96GMEI4ZLI3CJJJTGGXQBSUV,A002,Submitted,Sun May 08 16:10:32 PDT 2022,Sun May 08 16:11:31 PDT 2022,Thu May 12 16:11:31 PDT 2022,,,,59,100% (343/343),100% (202/202),100% (201/201),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000172121.jpg""","""What are the pizzas on?""","[[{""id"": ""g0.0"", ""content"": ""plates""}], [{""id"": ""g1.0"", ""content"": ""plate""}], [{""id"": ""g2.0"", ""content"": ""metal pan""}, {""id"": ""g2.1"", ""content"": ""pan""}], [{""id"": ""g3.0"", ""content"": ""cheese""}, {""id"": ""g3.1"", ""content"": ""pepperoni and cheese""}], [{""id"": ""g4.0"", ""content"": ""tray""}]]","[""What are the pizzas on?"", ""What are the pizzas on?"", ""What are the pizzas on?"", ""What are the pizzas on?"", ""What are the pizzas on?""]",172121017,"[[{""id"":""g0.0"",""content"":""plates""},{""id"":""g1.0"",""content"":""plate""}],[{""id"":""g2.0"",""content"":""metal pan""},{""id"":""g4.0"",""content"":""tray""},{""id"":""g2.1"",""content"":""pan""}]]","[""What are the pizzas served on?"",""What are the pizzas on before being served?""]",false,,"""All answer the same question""",,,A002
3NOEP8XAU47BLR1RQYLBJCFQ4UGXPF,3V815QQ2BDQXQCFYBW7PGLL8M6FA41,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Thu May 05 06:58:53 PDT 2022,1,BatchId:4732992;OriginalHitTemplateId:928390828;,10800,345600,Sun May 15 06:58:53 PDT 2022,,,3I33IC7ZWG75KRQM3SNMSARISTB2AH,A002,Submitted,Sun May 08 14:02:27 PDT 2022,Sun May 08 14:14:25 PDT 2022,Thu May 12 14:14:25 PDT 2022,,,,718,100% (343/343),100% (202/202),100% (201/201),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000297665.jpg""","""What type of dessert is this?""","[[{""id"": ""g0.0"", ""content"": ""blintzes""}], [{""id"": ""g1.0"", ""content"": ""fruit""}], [{""id"": ""g2.0"", ""content"": ""fried""}], [{""id"": ""g3.0"", ""content"": ""crepes""}], [{""id"": ""g4.0"", ""content"": ""torts""}], [{""id"": ""g5.0"", ""content"": ""pastry""}], [{""id"": ""g6.0"", ""content"": ""pastries""}], [{""id"": ""g7.0"", ""content"": ""beignets and fruit""}, {""id"": ""g7.1"", ""content"": ""donuts & fruit""}]]","[""What type of dessert is this?"", ""What type of dessert is this?"", ""What type of dessert is this?"", ""What type of dessert is this?"", ""What type of dessert is this?"", ""What type of dessert is this?"", ""What type of dessert is this?"", ""What type of dessert is this?""]",297665013,"[[{""id"":""g1.0"",""content"":""fruit""}],[{""id"":""g6.0"",""content"":""pastries""},{""id"":""g5.0"",""content"":""pastry""},{""id"":""g0.0"",""content"":""blintzes""},{""id"":""g4.0"",""content"":""torts""},{""id"":""g3.0"",""content"":""crepes""},{""id"":""g2.0"",""content"":""fried""}],[{""id"":""g7.0"",""content"":""beignets and fruit""},{""id"":""g7.1"",""content"":""donuts & fruit""}]]","[""What type of non fried dessert is this?"",""What type of fried dessert is this?"",""What whole type of dessert is this?""]",false,,"""All answer the same question""",,,A002
3ZFRE2BDQ9J5ZV3XD7JDAAH4ETNZX2,3V815QQ2BDQXQCFYBW7PGLL8M6FA41,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Thu May 05 06:58:53 PDT 2022,1,BatchId:4732992;OriginalHitTemplateId:928390828;,10800,345600,Sun May 15 06:58:53 PDT 2022,,,3TVRFO09GLKNHQKNO8X5RE1PZDXLXD,A002,Submitted,Sun May 08 12:02:22 PDT 2022,Sun May 08 12:11:58 PDT 2022,Thu May 12 12:11:58 PDT 2022,,,,576,100% (343/343),100% (202/202),100% (201/201),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000012556.jpg""","""What is the slot for?""","[[{""id"": ""g0.0"", ""content"": ""payment""}, {""id"": ""g0.1"", ""content"": ""parking payment""}], [{""id"": ""g1.0"", ""content"": ""change""}], [{""id"": ""g2.0"", ""content"": ""money""}], [{""id"": ""g3.0"", ""content"": ""depositing money""}], [{""id"": ""g4.0"", ""content"": ""credit cards""}, {""id"": ""g4.1"", ""content"": ""card""}, {""id"": ""g4.2"", ""content"": ""credit card""}]]","[""What is the slot for?"", ""What is the slot for?"", ""What is the slot for?"", ""What is the slot for?"", ""What is the slot for?""]",12556002,"[[{""id"":""g2.0"",""content"":""money""},{""id"":""g3.0"",""content"":""depositing money""},{""id"":""g0.0"",""content"":""payment""},{""id"":""g0.1"",""content"":""parking payment""}],[{""id"":""g1.0"",""content"":""change""}],[{""id"":""g4.0"",""content"":""credit cards""},{""id"":""g4.1"",""content"":""card""},{""id"":""g4.2"",""content"":""credit card""}]]","[""What is the small central slot for?"",""What is the open bottom right slot for?"",""What is the wide leftmost slot for?""]",false,,"""All answer the same question""",,,A002
322ZSN9Z5GPIFH6ON4SQRBJP02WT41,3V815QQ2BDQXQCFYBW7PGLL8M6FA41,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Thu May 05 06:58:53 PDT 2022,1,BatchId:4732992;OriginalHitTemplateId:928390828;,10800,345600,Sun May 15 06:58:53 PDT 2022,,,3YMTUJH0DTLK214ID6XRGUE80W34TB,A002,Submitted,Sun May 08 16:31:28 PDT 2022,Sun May 08 16:33:44 PDT 2022,Thu May 12 16:33:44 PDT 2022,,,,136,100% (343/343),100% (202/202),100% (201/201),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000203881.jpg""","""What fruit is on the newspaper?""","[[{""id"": ""g0.0"", ""content"": ""limes""}], [{""id"": ""g1.0"", ""content"": ""limes and starfruit""}, {""id"": ""g1.1"", ""content"": ""mangos""}], [{""id"": ""g2.0"", ""content"": ""bananas""}, {""id"": ""g2.1"", ""content"": ""banana""}], [{""id"": ""g3.0"", ""content"": ""lime""}], [{""id"": ""g4.0"", ""content"": ""citrus""}]]","[""What fruit is on the newspaper?"", ""What fruit is on the newspaper?"", ""What fruit is on the newspaper?"", ""What fruit is on the newspaper?"", ""What fruit is on the newspaper?""]",203881021,"[[{""id"":""g4.0"",""content"":""citrus""},{""id"":""g3.0"",""content"":""lime""},{""id"":""g0.0"",""content"":""limes""}],[{""id"":""g1.0"",""content"":""limes and starfruit""}],[{""id"":""g2.0"",""content"":""bananas""},{""id"":""g2.1"",""content"":""banana""}],[{""id"":""g1.1"",""content"":""mangos""}]]","[""What small green fruit is on the newspaper?"",""What fruits are on the newspaper?"",""What yellow fruit is on the newspaper?"",""What round orange fruit is on the newspaper?""]",false,,"""All answer the same question""",,,A002
3SV8KD29L4XZFV4QEO4OKG92IK8ZKD,3V815QQ2BDQXQCFYBW7PGLL8M6FA41,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Thu May 05 06:58:41 PDT 2022,1,BatchId:4732992;OriginalHitTemplateId:928390828;,10800,345600,Sun May 15 06:58:41 PDT 2022,,,3PS7W85Z807LZ7AUU1TIX2POMOGT9V,A002,Submitted,Sun May 08 16:22:25 PDT 2022,Sun May 08 16:23:34 PDT 2022,Thu May 12 16:23:34 PDT 2022,,,,69,100% (343/343),100% (202/202),100% (201/201),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000252602.jpg""","""What condiment is on the hot dogs?""","[[{""id"": ""g0.0"", ""content"": ""ketchup""}], [{""id"": ""g1.0"", ""content"": ""onions""}], [{""id"": ""g2.0"", ""content"": ""mustard, onion, bacon bits""}], [{""id"": ""g3.0"", ""content"": ""relish""}], [{""id"": ""g4.0"", ""content"": ""yes""}], [{""id"": ""g5.0"", ""content"": ""mustard""}], [{""id"": ""g6.0"", ""content"": ""none""}], [{""id"": ""g7.0"", ""content"": ""bacon, onions, bbq""}]]","[""What condiment is on the hot dogs?"", ""What condiment is on the hot dogs?"", ""What condiment is on the hot dogs?"", ""What condiment is on the hot dogs?"", ""What condiment is on the hot dogs?"", ""What condiment is on the hot dogs?"", ""What condiment is on the hot dogs?"", ""What condiment is on the hot dogs?""]",252602002,"[[{""id"":""g5.0"",""content"":""mustard""},{""id"":""g0.0"",""content"":""ketchup""}],[{""id"":""g1.0"",""content"":""onions""},{""id"":""g3.0"",""content"":""relish""}],[{""id"":""g2.0"",""content"":""mustard, onion, bacon bits""},{""id"":""g7.0"",""content"":""bacon, onions, bbq""}]]","[""What sauce condiment is on the hot dogs?"",""What vegetable condiment is on the hot dogs?"",""What condiments are on the hot dogs?""]",false,,"""All answer the same question""",,,A002
3PIOQ99R7YRJ12VJ5EXWVGBRAXYNUH,3V815QQ2BDQXQCFYBW7PGLL8M6FA41,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Thu May 05 06:58:53 PDT 2022,1,BatchId:4732992;OriginalHitTemplateId:928390828;,10800,345600,Sun May 15 06:58:53 PDT 2022,,,3RKNTXVS3N3FN559766ALPOGC70A4E,A002,Submitted,Sun May 08 12:58:27 PDT 2022,Sun May 08 12:59:51 PDT 2022,Thu May 12 12:59:51 PDT 2022,,,,84,100% (343/343),100% (202/202),100% (201/201),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000466713.jpg""","""What type of boat is this?""","[[{""id"": ""g0.0"", ""content"": ""row boat""}], [{""id"": ""g1.0"", ""content"": ""row""}], [{""id"": ""g2.0"", ""content"": ""rowboat""}], [{""id"": ""g3.0"", ""content"": ""fishing""}], [{""id"": ""g4.0"", ""content"": ""canoe""}], [{""id"": ""g5.0"", ""content"": ""raft""}], [{""id"": ""g6.0"", ""content"": ""sailboat""}], [{""id"": ""g7.0"", ""content"": ""dingy""}]]","[""What type of boat is this?"", ""What type of boat is this?"", ""What type of boat is this?"", ""What type of boat is this?"", ""What type of boat is this?"", ""What type of boat is this?"", ""What type of boat is this?"", ""What type of boat is this?""]",466713012,"[[{""id"":""g7.0"",""content"":""dingy""},{""id"":""g0.0"",""content"":""row boat""},{""id"":""g1.0"",""content"":""row""},{""id"":""g5.0"",""content"":""raft""},{""id"":""g2.0"",""content"":""rowboat""}],[{""id"":""g3.0"",""content"":""fishing""},{""id"":""g6.0"",""content"":""sailboat""}]]","[""What type of boat is the small one near the front?"",""What type of boat are the boats in the background?""]",false,,"""All answer the same question""",,,A002
3T2EL38U0MPWL326QB00JH509Q2XQ6,3V815QQ2BDQXQCFYBW7PGLL8M6FA41,Evaluate answers to questions about images,You'll be asked to group answers to questions about images into coherent groups and rewrite questions,"images, questions, language",$0.10,Thu May 05 06:58:53 PDT 2022,1,BatchId:4732992;OriginalHitTemplateId:928390828;,10800,345600,Sun May 15 06:58:53 PDT 2022,,,3DEL4X4EL7Q7HPRM7NMVLM3L8S1YXI,A002,Submitted,Sun May 08 12:02:38 PDT 2022,Sun May 08 12:14:58 PDT 2022,Thu May 12 12:14:58 PDT 2022,,,,740,100% (343/343),100% (202/202),100% (201/201),"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000333663.jpg""","""What is the boy holding in his hands?""","[[{""id"": ""g0.0"", ""content"": ""slim jim""}], [{""id"": ""g1.0"", ""content"": ""phone""}], [{""id"": ""g2.0"", ""content"": ""meat""}], [{""id"": ""g3.0"", ""content"": ""cigarette""}], [{""id"": ""g4.0"", ""content"": ""candy bar""}, {""id"": ""g4.1"", ""content"": ""candy""}], [{""id"": ""g5.0"", ""content"": ""door handle""}], [{""id"": ""g6.0"", ""content"": ""rolled paper""}], [{""id"": ""g7.0"", ""content"": ""2 items""}]]","[""What is the boy holding in his hands?"", ""What is the boy holding in his hands?"", ""What is the boy holding in his hands?"", ""What is the boy holding in his hands?"", ""What is the boy holding in his hands?"", ""What is the boy holding in his hands?"", ""What is the boy holding in his hands?"", ""What is the boy holding in his hands?""]",333663002,"[[{""id"":""g3.0"",""content"":""cigarette""},{""id"":""g2.0"",""content"":""meat""},{""id"":""g0.0"",""content"":""slim jim""}],[{""id"":""g6.0"",""content"":""rolled paper""},{""id"":""g5.0"",""content"":""door handle""},{""id"":""g4.1"",""content"":""candy""},{""id"":""g4.0"",""content"":""candy bar""},{""id"":""g1.0"",""content"":""phone""}]]","[""What is the boy holding in his right hand?"",""What is the boy holding in his left hand?""]",false,,"""All answer the same question""",,,A002
