imgUrl,questionStr,answerGroups,answerQuestions,question_id
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000293576.jpg""","""What is the red object they are standing around?""","[[{""id"": ""g0.0"", ""content"": ""don't know""}], [{""id"": ""g1.0"", ""content"": ""sculpture""}], [{""id"": ""g2.0"", ""content"": ""whale""}], [{""id"": ""g3.0"", ""content"": ""inflatable""}], [{""id"": ""g4.0"", ""content"": ""fish with desk as fin""}], [{""id"": ""g5.0"", ""content"": ""statue""}], [{""id"": ""g6.0"", ""content"": ""blow ups""}], [{""id"": ""g7.0"", ""content"": ""inflatable object""}]]","[""What is the red object they are standing around?"", ""What is the red object they are standing around?"", ""What is the red object they are standing around?"", ""What is the red object they are standing around?"", ""What is the red object they are standing around?"", ""What is the red object they are standing around?"", ""What is the red object they are standing around?"", ""What is the red object they are standing around?""]",293576002
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000227456.jpg""","""Why aren't people's faces visible?""","[[{""id"": ""g0.0"", ""content"": ""umbrella""}], [{""id"": ""g1.0"", ""content"": ""they're under umbrella""}, {""id"": ""g1.1"", ""content"": ""under umbrella""}], [{""id"": ""g2.0"", ""content"": ""umbrella in way""}, {""id"": ""g2.1"", ""content"": ""big umbrella""}, {""id"": ""g2.2"", ""content"": ""they are unaware that photo was being taken""}, {""id"": ""g2.3"", ""content"": ""umbrella is covering them""}]]","[""Why aren't people's faces visible?"", ""Why aren't people's faces visible?"", ""Why aren't people's faces visible?""]",227456000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000434828.jpg""","""What is the man doing holding a rope?""","[[{""id"": ""g0.0"", ""content"": ""rowing""}], [{""id"": ""g1.0"", ""content"": ""leash""}], [{""id"": ""g2.0"", ""content"": ""floating""}], [{""id"": ""g3.0"", ""content"": ""paddle boarding""}], [{""id"": ""g4.0"", ""content"": ""surfing""}], [{""id"": ""g5.0"", ""content"": ""tightening up his board""}], [{""id"": ""g6.0"", ""content"": ""staying balanced""}], [{""id"": ""g7.0"", ""content"": ""no""}]]","[""What is the man doing holding a rope?"", ""What is the man doing holding a rope?"", ""What is the man doing holding a rope?"", ""What is the man doing holding a rope?"", ""What is the man doing holding a rope?"", ""What is the man doing holding a rope?"", ""What is the man doing holding a rope?"", ""What is the man doing holding a rope?""]",434828013
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000216820.jpg""","""What fruits are pictured?""","[[{""id"": ""g0.0"", ""content"": ""bananas, oranges, and cantaloupe""}, {""id"": ""g0.1"", ""content"": ""banana, orange and cantaloupe""}], [{""id"": ""g1.0"", ""content"": ""cantaloupe, banana, oranges""}, {""id"": ""g1.1"", ""content"": ""bananas, cantaloupe, oranges""}], [{""id"": ""g2.0"", ""content"": ""banana, orange, cantaloupe""}, {""id"": ""g2.1"", ""content"": ""banana, oranges, cantaloupe""}], [{""id"": ""g3.0"", ""content"": ""banana, melon, orange""}], [{""id"": ""g4.0"", ""content"": ""orange, cantaloupe, banana""}, {""id"": ""g4.1"", ""content"": ""banana""}]]","[""What fruits are pictured?"", ""What fruits are pictured?"", ""What fruits are pictured?"", ""What fruits are pictured?"", ""What fruits are pictured?""]",216820000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000181009.jpg""","""Why is there a silver bar?""","[[{""id"": ""g0.0"", ""content"": ""bus""}], [{""id"": ""g1.0"", ""content"": ""to hold on to""}, {""id"": ""g1.1"", ""content"": ""for someone to hold onto for support""}], [{""id"": ""g2.0"", ""content"": ""railing""}], [{""id"": ""g3.0"", ""content"": ""bicycle""}], [{""id"": ""g4.0"", ""content"": ""for safety""}], [{""id"": ""g5.0"", ""content"": ""protection""}], [{""id"": ""g6.0"", ""content"": ""handheld""}], [{""id"": ""g7.0"", ""content"": ""handlebar""}]]","[""Why is there a silver bar?"", ""Why is there a silver bar?"", ""Why is there a silver bar?"", ""Why is there a silver bar?"", ""Why is there a silver bar?"", ""Why is there a silver bar?"", ""Why is there a silver bar?"", ""Why is there a silver bar?""]",181009000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000018994.jpg""","""Why does this bear look scary?""","[[{""id"": ""g0.0"", ""content"": ""it's costume""}], [{""id"": ""g1.0"", ""content"": ""facial expression""}], [{""id"": ""g2.0"", ""content"": ""i don't know""}], [{""id"": ""g3.0"", ""content"": ""heads eyebrows""}], [{""id"": ""g4.0"", ""content"": ""creepy""}], [{""id"": ""g5.0"", ""content"": ""idk""}], [{""id"": ""g6.0"", ""content"": ""in clothes""}, {""id"": ""g6.1"", ""content"": ""look on his face""}], [{""id"": ""g7.0"", ""content"": ""man""}]]","[""Why does this bear look scary?"", ""Why does this bear look scary?"", ""Why does this bear look scary?"", ""Why does this bear look scary?"", ""Why does this bear look scary?"", ""Why does this bear look scary?"", ""Why does this bear look scary?"", ""Why does this bear look scary?""]",18994008
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000003992.jpg""","""What color is the lollipop?""","[[{""id"": ""g0.0"", ""content"": ""no lollipop here""}, {""id"": ""g0.1"", ""content"": ""no lollipop""}], [{""id"": ""g1.0"", ""content"": ""no laptop""}, {""id"": ""g1.1"", ""content"": ""not possible""}], [{""id"": ""g2.0"", ""content"": ""blue ice cream""}], [{""id"": ""g3.0"", ""content"": ""purple""}], [{""id"": ""g4.0"", ""content"": ""yellow""}, {""id"": ""g4.1"", ""content"": ""green""}]]","[""What color is the lollipop?"", ""What color is the lollipop?"", ""What color is the lollipop?"", ""What color is the lollipop?"", ""What color is the lollipop?""]",3992000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000034831.jpg""","""How are the curtains hung?""","[[{""id"": ""g0.0"", ""content"": ""rods""}, {""id"": ""g0.1"", ""content"": ""rod""}], [{""id"": ""g1.0"", ""content"": ""by rod""}, {""id"": ""g1.1"", ""content"": ""curtain rod""}, {""id"": ""g1.2"", ""content"": ""on rings and curtain rod""}], [{""id"": ""g2.0"", ""content"": ""up""}, {""id"": ""g2.1"", ""content"": ""on bar""}]]","[""How are the curtains hung?"", ""How are the curtains hung?"", ""How are the curtains hung?""]",34831008
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000208304.jpg""","""What is the brand of salad dressing?""","[[{""id"": ""g0.0"", ""content"": ""oil""}, {""id"": ""g0.1"", ""content"": ""olive oil""}], [{""id"": ""g1.0"", ""content"": ""no dressing""}], [{""id"": ""g2.0"", ""content"": ""dash""}], [{""id"": ""g3.0"", ""content"": ""northwood cellars""}], [{""id"": ""g4.0"", ""content"": ""orchids""}], [{""id"": ""g5.0"", ""content"": ""mrs dash""}], [{""id"": ""g6.0"", ""content"": ""homemade""}], [{""id"": ""g7.0"", ""content"": ""none""}]]","[""What is the brand of salad dressing?"", ""What is the brand of salad dressing?"", ""What is the brand of salad dressing?"", ""What is the brand of salad dressing?"", ""What is the brand of salad dressing?"", ""What is the brand of salad dressing?"", ""What is the brand of salad dressing?"", ""What is the brand of salad dressing?""]",208304001
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000429416.jpg""","""What have these people just done?""","[[{""id"": ""g0.0"", ""content"": ""eaten""}], [{""id"": ""g1.0"", ""content"": ""eating""}], [{""id"": ""g2.0"", ""content"": ""drank wine""}, {""id"": ""g2.1"", ""content"": ""tasted wine""}], [{""id"": ""g3.0"", ""content"": ""partying""}], [{""id"": ""g4.0"", ""content"": ""wed""}], [{""id"": ""g5.0"", ""content"": ""had celebration""}], [{""id"": ""g6.0"", ""content"": ""visited art""}], [{""id"": ""g7.0"", ""content"": ""drank""}], [{""id"": ""g8.0"", ""content"": ""left wedding""}]]","[""What have these people just done?"", ""What have these people just done?"", ""What have these people just done?"", ""What have these people just done?"", ""What have these people just done?"", ""What have these people just done?"", ""What have these people just done?"", ""What have these people just done?"", ""What have these people just done?""]",429416001
