"answerGroups","question_id","imgUrl","answerQuestions","questionStr"
"[[{""id"": ""g.0.0"", ""content"": ""resting""}], [{""id"": ""g.1.0"", ""content"": ""sitting""}], [{""id"": ""g.2.0"", ""content"": ""begging""}], [{""id"": ""g.3.0"", ""content"": ""he is homeless""}], [{""id"": ""g.4.0"", ""content"": ""homeless""}]]","524314000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the man on the street?"""
"[[{""id"": ""g.0.0"", ""content"": ""bad light""}], [{""id"": ""g.1.0"", ""content"": ""direction of sunlight""}], [{""id"": ""g.2.0"", ""content"": ""position of sun""}], [{""id"": ""g.3.0"", ""content"": ""glare""}], [{""id"": ""g.4.0"", ""content"": ""low light""}], [{""id"": ""g.5.0"", ""content"": ""sunset""}], [{""id"": ""g.6.0"", ""content"": ""sun""}], [{""id"": ""g.7.0"", ""content"": ""lighting""}], [{""id"": ""g.8.0"", ""content"": ""backlighting""}], [{""id"": ""g.9.0"", ""content"": ""shadows""}]]","262260000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are the birds only appearing as black silhouettes?"""
"[[{""id"": ""g.0.0"", ""content"": ""lack of storage""}], [{""id"": ""g.1.0"", ""content"": ""haven't put away yet""}], [{""id"": ""g.2.0"", ""content"": ""yes""}], [{""id"": ""g.3.0"", ""content"": ""she's messy""}], [{""id"": ""g.4.0"", ""content"": ""messy""}], [{""id"": ""g.5.0"", ""content"": ""bed isn't made""}], [{""id"": ""g.6.0"", ""content"": ""she just did laundry""}], [{""id"": ""g.7.0"", ""content"": ""she does not want to put them away""}], [{""id"": ""g.8.0"", ""content"": ""it's hot""}], [{""id"": ""g.9.0"", ""content"": ""laundry""}]]","131208000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are there so many clothes on the bed?"""
"[[{""id"": ""g.0.0"", ""content"": ""barbecue""}], [{""id"": ""g.1.0"", ""content"": ""for festival""}], [{""id"": ""g.2.0"", ""content"": ""for sale""}], [{""id"": ""g.3.0"", ""content"": ""barbeque for friends or family""}], [{""id"": ""g.4.0"", ""content"": ""cookout""}], [{""id"": ""g.5.0"", ""content"": ""to eat""}], [{""id"": ""g.6.0"", ""content"": ""fundraiser""}], [{""id"": ""g.7.0"", ""content"": ""to feed people""}], [{""id"": ""g.8.0"", ""content"": ""party""}]]","524486002","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the man cooking so many hot dogs?"""
"[[{""id"": ""g.0.0"", ""content"": ""keep sun off""}], [{""id"": ""g.1.0"", ""content"": ""it's sunny""}], [{""id"": ""g.2.0"", ""content"": ""protection from sun""}], [{""id"": ""g.3.0"", ""content"": ""sun protection""}], [{""id"": ""g.4.0"", ""content"": ""sunscreen""}], [{""id"": ""g.5.0"", ""content"": ""sun""}], [{""id"": ""g.6.0"", ""content"": ""its' sunny""}], [{""id"": ""g.7.0"", ""content"": ""block sun""}]]","36002","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the girl holding an umbrella?"""
"[[{""id"": ""g.0.0"", ""content"": ""personal preference""}], [{""id"": ""g.1.0"", ""content"": ""too acidic""}], [{""id"": ""g.2.0"", ""content"": ""they don't like oranges""}], [{""id"": ""g.3.0"", ""content"": ""acidic""}], [{""id"": ""g.4.0"", ""content"": ""have to peel""}], [{""id"": ""g.5.0"", ""content"": ""allergic to it""}], [{""id"": ""g.6.0"", ""content"": ""they just don't""}], [{""id"": ""g.7.0"", ""content"": ""wax""}], [{""id"": ""g.8.0"", ""content"": ""to citrusy""}], [{""id"": ""g.9.0"", ""content"": ""rotten""}]]","39288002","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why would someone not like the fruit at the front?"""
"[[{""id"": ""g.0.0"", ""content"": ""to stop traffic""}], [{""id"": ""g.1.0"", ""content"": ""stop cars""}], [{""id"": ""g.2.0"", ""content"": ""to stop cars""}], [{""id"": ""g.3.0"", ""content"": ""stop""}], [{""id"": ""g.4.0"", ""content"": ""to signal cars to stop""}], [{""id"": ""g.5.0"", ""content"": ""so drivers know to stop""}], [{""id"": ""g.6.0"", ""content"": ""red for stop""}]]","524520002","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the top light on?"""
"[[{""id"": ""g.0.0"", ""content"": ""ramp""}], [{""id"": ""g.1.0"", ""content"": ""snowboarding jump""}], [{""id"": ""g.2.0"", ""content"": ""snowboarding down hill""}], [{""id"": ""g.3.0"", ""content"": ""tricks""}], [{""id"": ""g.4.0"", ""content"": ""jumping""}], [{""id"": ""g.5.0"", ""content"": ""he went off jump""}], [{""id"": ""g.6.0"", ""content"": ""snowboarding""}], [{""id"": ""g.7.0"", ""content"": ""making ski jump""}]]","524547000","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why is the man in mid-air?"""
"[[{""id"": ""g.0.0"", ""content"": ""riding""}], [{""id"": ""g.1.0"", ""content"": ""traveling""}], [{""id"": ""g.2.0"", ""content"": ""riding them""}], [{""id"": ""g.3.0"", ""content"": ""safari ride""}]]","61001","""No link""","[""empty"", ""empty"", ""empty"", ""empty""]","""Why are the people on the elephants?"""
"[[{""id"": ""g.0.0"", ""content"": ""it is fall""}], [{""id"": ""g.1.0"", ""content"": ""autumn""}], [{""id"": ""g.2.0"", ""content"": ""fall season""}], [{""id"": ""g.3.0"", ""content"": ""they're green""}], [{""id"": ""g.4.0"", ""content"": ""it's fall""}], [{""id"": ""g.5.0"", ""content"": ""it's autumn""}], [{""id"": ""g.6.0"", ""content"": ""season change""}], [{""id"": ""g.7.0"", ""content"": ""changing season""}], [{""id"": ""g.8.0"", ""content"": ""fall""}]]","524661005","""No link""","[""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty"", ""empty""]","""Why are some of the leaves brown?"""
