imgUrl,questionStr,answerGroups,answerQuestions,question_id
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000478785.jpg""","""What is this type of bus called?""","[[{""id"": ""g0.0"", ""content"": ""passenger""}], [{""id"": ""g1.0"", ""content"": ""public transportation""}], [{""id"": ""g2.0"", ""content"": ""city bus""}], [{""id"": ""g3.0"", ""content"": ""accordion""}], [{""id"": ""g4.0"", ""content"": ""tour""}], [{""id"": ""g5.0"", ""content"": ""transit""}], [{""id"": ""g6.0"", ""content"": ""passenger bus""}], [{""id"": ""g7.0"", ""content"": ""city""}]]","[""What is this type of bus called?"", ""What is this type of bus called?"", ""What is this type of bus called?"", ""What is this type of bus called?"", ""What is this type of bus called?"", ""What is this type of bus called?"", ""What is this type of bus called?"", ""What is this type of bus called?""]",478785010
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000332578.jpg""","""What are the people doing?""","[[{""id"": ""g0.0"", ""content"": ""hair""}], [{""id"": ""g1.0"", ""content"": ""working""}], [{""id"": ""g2.0"", ""content"": ""sitting""}, {""id"": ""g2.1"", ""content"": ""standing""}], [{""id"": ""g3.0"", ""content"": ""waiting for haircut""}, {""id"": ""g3.1"", ""content"": ""preparing to leave""}], [{""id"": ""g4.0"", ""content"": ""blow drying her hair""}], [{""id"": ""g5.0"", ""content"": ""haircut""}], [{""id"": ""g6.0"", ""content"": ""makeup""}], [{""id"": ""g7.0"", ""content"": ""hairstyling""}]]","[""What are the people doing?"", ""What are the people doing?"", ""What are the people doing?"", ""What are the people doing?"", ""What are the people doing?"", ""What are the people doing?"", ""What are the people doing?"", ""What are the people doing?""]",332578000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000032809.jpg""","""Which bus it is?""","[[{""id"": ""g0.0"", ""content"": ""unknown""}], [{""id"": ""g1.0"", ""content"": ""green""}], [{""id"": ""g2.0"", ""content"": ""yellow""}], [{""id"": ""g3.0"", ""content"": ""passenger""}], [{""id"": ""g4.0"", ""content"": ""japanese""}], [{""id"": ""g5.0"", ""content"": ""tourist""}], [{""id"": ""g6.0"", ""content"": ""public""}], [{""id"": ""g7.0"", ""content"": ""tour""}]]","[""Which bus it is?"", ""Which bus it is?"", ""Which bus it is?"", ""Which bus it is?"", ""Which bus it is?"", ""Which bus it is?"", ""Which bus it is?"", ""Which bus it is?""]",32809001
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000236629.jpg""","""What kind of food?""","[[{""id"": ""g0.0"", ""content"": ""lunches""}], [{""id"": ""g1.0"", ""content"": ""sandwich, salad, fruit, yogurt""}], [{""id"": ""g2.0"", ""content"": ""breakfast""}], [{""id"": ""g3.0"", ""content"": ""sandwiches with side dishes""}, {""id"": ""g3.1"", ""content"": ""assortment of bread and veggies""}], [{""id"": ""g4.0"", ""content"": ""sandwich""}], [{""id"": ""g5.0"", ""content"": ""supper""}], [{""id"": ""g6.0"", ""content"": ""sandwiches, oranges, vegetables""}], [{""id"": ""g7.0"", ""content"": ""lunch""}], [{""id"": ""g8.0"", ""content"": ""japanese""}]]","[""What kind of food?"", ""What kind of food?"", ""What kind of food?"", ""What kind of food?"", ""What kind of food?"", ""What kind of food?"", ""What kind of food?"", ""What kind of food?"", ""What kind of food?""]",236629000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000402384.jpg""","""What is the emblem on the hat?""","[[{""id"": ""g0.0"", ""content"": ""yankees""}], [{""id"": ""g1.0"", ""content"": ""person""}], [{""id"": ""g2.0"", ""content"": ""shiels""}], [{""id"": ""g3.0"", ""content"": ""badge""}], [{""id"": ""g4.0"", ""content"": ""not sure""}, {""id"": ""g4.1"", ""content"": ""nothing""}], [{""id"": ""g5.0"", ""content"": ""nike""}], [{""id"": ""g6.0"", ""content"": ""dc""}], [{""id"": ""g7.0"", ""content"": ""no emblem""}]]","[""What is the emblem on the hat?"", ""What is the emblem on the hat?"", ""What is the emblem on the hat?"", ""What is the emblem on the hat?"", ""What is the emblem on the hat?"", ""What is the emblem on the hat?"", ""What is the emblem on the hat?"", ""What is the emblem on the hat?""]",402384000
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000145083.jpg""","""What sort of dish is in the oven?""","[[{""id"": ""g0.0"", ""content"": ""none""}], [{""id"": ""g1.0"", ""content"": ""no dish""}, {""id"": ""g1.1"", ""content"": ""no dish seen""}], [{""id"": ""g2.0"", ""content"": ""cookie sheet""}, {""id"": ""g2.1"", ""content"": ""baking sheet""}], [{""id"": ""g3.0"", ""content"": ""pan""}], [{""id"": ""g4.0"", ""content"": ""nothing""}]]","[""What sort of dish is in the oven?"", ""What sort of dish is in the oven?"", ""What sort of dish is in the oven?"", ""What sort of dish is in the oven?"", ""What sort of dish is in the oven?""]",145083005
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000027329.jpg""","""What type of flowers are in the vase?""","[[{""id"": ""g0.0"", ""content"": ""dried""}], [{""id"": ""g1.0"", ""content"": ""tulips""}], [{""id"": ""g2.0"", ""content"": ""dahlia""}], [{""id"": ""g3.0"", ""content"": ""orange""}], [{""id"": ""g4.0"", ""content"": ""asters""}], [{""id"": ""g5.0"", ""content"": ""mums""}], [{""id"": ""g6.0"", ""content"": ""daisies""}], [{""id"": ""g7.0"", ""content"": ""lily""}]]","[""What type of flowers are in the vase?"", ""What type of flowers are in the vase?"", ""What type of flowers are in the vase?"", ""What type of flowers are in the vase?"", ""What type of flowers are in the vase?"", ""What type of flowers are in the vase?"", ""What type of flowers are in the vase?"", ""What type of flowers are in the vase?""]",27329002
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000201930.jpg""","""What seems to have happened to the vehicle before it was abandoned?""","[[{""id"": ""g0.0"", ""content"": ""crashed""}], [{""id"": ""g1.0"", ""content"": ""broke down""}], [{""id"": ""g2.0"", ""content"": ""flat tire""}], [{""id"": ""g3.0"", ""content"": ""kicked""}], [{""id"": ""g4.0"", ""content"": ""was in accident""}], [{""id"": ""g5.0"", ""content"": ""out of gas""}], [{""id"": ""g6.0"", ""content"": ""run off road""}], [{""id"": ""g7.0"", ""content"": ""painted""}]]","[""What seems to have happened to the vehicle before it was abandoned?"", ""What seems to have happened to the vehicle before it was abandoned?"", ""What seems to have happened to the vehicle before it was abandoned?"", ""What seems to have happened to the vehicle before it was abandoned?"", ""What seems to have happened to the vehicle before it was abandoned?"", ""What seems to have happened to the vehicle before it was abandoned?"", ""What seems to have happened to the vehicle before it was abandoned?"", ""What seems to have happened to the vehicle before it was abandoned?""]",201930005
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000012883.jpg""","""What does the machine do?""","[[{""id"": ""g0.0"", ""content"": ""take change for parking""}, {""id"": ""g0.1"", ""content"": ""let you park""}, {""id"": ""g0.2"", ""content"": ""track time""}], [{""id"": ""g1.0"", ""content"": ""meters parking time""}, {""id"": ""g1.1"", ""content"": ""meters time""}, {""id"": ""g1.2"", ""content"": ""work as parking meter""}], [{""id"": ""g2.0"", ""content"": ""permit parking""}, {""id"": ""g2.1"", ""content"": ""parking payments""}, {""id"": ""g2.2"", ""content"": ""monitors parking""}, {""id"": ""g2.3"", ""content"": ""accept parking payment""}]]","[""What does the machine do?"", ""What does the machine do?"", ""What does the machine do?""]",12883005
"""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000388412.jpg""","""What does the book say?""","[[{""id"": ""g0.0"", ""content"": ""notebook""}], [{""id"": ""g1.0"", ""content"": ""algebra""}], [{""id"": ""g2.0"", ""content"": ""bible""}], [{""id"": ""g3.0"", ""content"": ""instructions""}], [{""id"": ""g4.0"", ""content"": ""not sure""}, {""id"": ""g4.1"", ""content"": ""nothing""}], [{""id"": ""g5.0"", ""content"": ""words""}], [{""id"": ""g6.0"", ""content"": ""textbook""}], [{""id"": ""g7.0"", ""content"": ""no book""}]]","[""What does the book say?"", ""What does the book say?"", ""What does the book say?"", ""What does the book say?"", ""What does the book say?"", ""What does the book say?"", ""What does the book say?"", ""What does the book say?""]",388412026
