"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.answerGroups","Input.answerQuestions","Input.imgUrl","Input.questionStr","Answer.answer_groups","Answer.answer_questions","Answer.is_skip","Answer.skipCheck","Answer.skip_reason","Turkle.Username"
"471754","85","Uncertainty QUD","Mon Feb 07 18:34:33 UTC 2022","1","86400","21515","52","Mon Feb 07 18:39:55 UTC 2022","Mon Feb 07 18:43:28 UTC 2022","213","[[{""id"": ""g0.0"", ""content"": ""jug""}], [{""id"": ""g1.0"", ""content"": ""milk""}], [{""id"": ""g2.0"", ""content"": ""cup""}], [{""id"": ""g3.0"", ""content"": ""container""}], [{""id"": ""g4.0"", ""content"": ""eggs""}], [{""id"": ""g5.0"", ""content"": ""spoon""}], [{""id"": ""g6.0"", ""content"": ""bottle""}], [{""id"": ""g7.0"", ""content"": ""broccoli""}], [{""id"": ""g8.0"", ""content"": ""grapes""}]]","[""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?"", ""What sits on the left hand side of the bowl?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000438671.jpg""","""What sits on the left hand side of the bowl?""","[[{""id"":""g6.0"",""content"":""bottle""},{""id"":""g3.0"",""content"":""container""},{""id"":""g1.0"",""content"":""milk""},{""id"":""g2.0"",""content"":""cup""},{""id"":""g0.0"",""content"":""jug""}],[{""id"":""g5.0"",""content"":""spoon""},{""id"":""g4.0"",""content"":""eggs""}]]","""What sits in the left hand side of the bowl?""","false","","""All answer the same question""","esteng"
"471755","85","Uncertainty QUD","Mon Feb 07 18:34:33 UTC 2022","1","86400","21516","52","Mon Feb 07 18:43:29 UTC 2022","Mon Feb 07 18:44:27 UTC 2022","58","[[{""id"": ""g0.0"", ""content"": ""orioles""}], [{""id"": ""g1.0"", ""content"": ""orion""}], [{""id"": ""g2.0"", ""content"": ""oros""}], [{""id"": ""g3.0"", ""content"": ""birds""}]]","[""What team is the player in white on?"", ""What team is the player in white on?"", ""What team is the player in white on?"", ""What team is the player in white on?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000439926.jpg""","""What team is the player in white on?""","[[{""id"":""g0.0"",""content"":""orioles""}],[{""id"":""g1.0"",""content"":""orion""}],[{""id"":""g2.0"",""content"":""oros""}],[{""id"":""g3.0"",""content"":""birds""}]]","[""What team is the player in white on?"",""What team is the player in white on?"",""What team is the player in white on?"",""What team is the player in white on?""]","true","value","""All answer the same question""","esteng"
"471756","85","Uncertainty QUD","Mon Feb 07 18:34:33 UTC 2022","1","86400","21517","52","Mon Feb 07 18:44:27 UTC 2022","Mon Feb 07 18:46:01 UTC 2022","94","[[{""id"": ""g0.0"", ""content"": ""coats""}], [{""id"": ""g1.0"", ""content"": ""jackets""}, {""id"": ""g1.1"", ""content"": ""shirts""}], [{""id"": ""g2.0"", ""content"": ""toys""}], [{""id"": ""g3.0"", ""content"": ""stuffed animals""}, {""id"": ""g3.1"", ""content"": ""tiny horses""}], [{""id"": ""g4.0"", ""content"": ""teddy bears""}]]","[""What do these animals have strapped to their backs?"", ""What do these animals have strapped to their backs?"", ""What do these animals have strapped to their backs?"", ""What do these animals have strapped to their backs?"", ""What do these animals have strapped to their backs?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000441379.jpg""","""What do these animals have strapped to their backs?""","[[{""id"":""g0.0"",""content"":""coats""},{""id"":""g1.0"",""content"":""jackets""},{""id"":""g1.1"",""content"":""shirts""}],[{""id"":""g4.0"",""content"":""teddy bears""},{""id"":""g2.0"",""content"":""toys""},{""id"":""g3.0"",""content"":""stuffed animals""},{""id"":""g3.1"",""content"":""tiny horses""}]]","""What tiny thing do these animals have strapped to their backs?""","false","","""All answer the same question""","esteng"
"471757","85","Uncertainty QUD","Mon Feb 07 18:34:33 UTC 2022","1","86400","21518","52","Mon Feb 07 18:46:01 UTC 2022","Mon Feb 07 18:46:22 UTC 2022","21","[[{""id"": ""g0.0"", ""content"": ""no""}], [{""id"": ""g1.0"", ""content"": ""yes""}, {""id"": ""g1.1"", ""content"": ""maybe""}]]","[""Does the girl dye her hair?"", ""Does the girl dye her hair?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000439506.jpg""","""Does the girl dye her hair?""","[[{""id"":""g0.0"",""content"":""no""}],[{""id"":""g1.0"",""content"":""yes""},{""id"":""g1.1"",""content"":""maybe""}]]","[""Does the girl dye her hair?"",""Does the girl dye her hair?""]","true","value","""All answer the same question""","esteng"
"471758","85","Uncertainty QUD","Mon Feb 07 18:34:33 UTC 2022","1","86400","21519","52","Mon Feb 07 18:46:22 UTC 2022","Mon Feb 07 18:48:12 UTC 2022","110","[[{""id"": ""g0.0"", ""content"": ""behind girl""}, {""id"": ""g0.1"", ""content"": ""behind her""}, {""id"": ""g0.2"", ""content"": ""behind person""}], [{""id"": ""g1.0"", ""content"": ""on edge of counter""}, {""id"": ""g1.1"", ""content"": ""on counter""}], [{""id"": ""g2.0"", ""content"": ""left""}], [{""id"": ""g3.0"", ""content"": ""in vase""}, {""id"": ""g3.1"", ""content"": ""vase""}], [{""id"": ""g4.0"", ""content"": ""floor""}]]","[""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000442150.jpg""","""Where are the flowers?""","[[{""id"":""g2.0"",""content"":""left""},{""id"":""g0.0"",""content"":""behind girl""},{""id"":""g0.1"",""content"":""behind her""},{""id"":""g0.2"",""content"":""behind person""}],[{""id"":""g4.0"",""content"":""floor""},{""id"":""g1.0"",""content"":""on edge of counter""},{""id"":""g1.1"",""content"":""on counter""}],[{""id"":""g3.0"",""content"":""in vase""},{""id"":""g3.1"",""content"":""vase""}]]","""What are the flowers in?""","false","","""All answer the same question""","esteng"
"471759","85","Uncertainty QUD","Mon Feb 07 18:34:33 UTC 2022","1","86400","21520","52","Mon Feb 07 18:48:12 UTC 2022","Mon Feb 07 18:48:23 UTC 2022","11","[[{""id"": ""g0.0"", ""content"": ""behind girl""}, {""id"": ""g0.1"", ""content"": ""behind her""}, {""id"": ""g0.2"", ""content"": ""behind person""}], [{""id"": ""g1.0"", ""content"": ""on edge of counter""}, {""id"": ""g1.1"", ""content"": ""on counter""}], [{""id"": ""g2.0"", ""content"": ""left""}], [{""id"": ""g3.0"", ""content"": ""in vase""}, {""id"": ""g3.1"", ""content"": ""vase""}], [{""id"": ""g4.0"", ""content"": ""floor""}]]","[""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?"", ""Where are the flowers?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000442150.jpg""","""Where are the flowers?""","[[{""id"":""g0.0"",""content"":""behind girl""},{""id"":""g0.1"",""content"":""behind her""},{""id"":""g0.2"",""content"":""behind person""}],[{""id"":""g1.0"",""content"":""on edge of counter""},{""id"":""g1.1"",""content"":""on counter""}],[{""id"":""g2.0"",""content"":""left""}],[{""id"":""g3.0"",""content"":""in vase""},{""id"":""g3.1"",""content"":""vase""}],[{""id"":""g4.0"",""content"":""floor""}]]","[""Where are the flowers?"",""Where are the flowers?"",""Where are the flowers?"",""Where are the flowers?"",""Where are the flowers?""]","true","value","""All answer the same question""","esteng"
"471760","85","Uncertainty QUD","Mon Feb 07 18:34:33 UTC 2022","1","86400","21521","52","Mon Feb 07 18:48:23 UTC 2022","Mon Feb 07 18:50:56 UTC 2022","153","[[{""id"": ""g0.0"", ""content"": ""lak 3090""}, {""id"": ""g0.1"", ""content"": ""lak""}, {""id"": ""g0.2"", ""content"": ""lak309g""}, {""id"": ""g0.3"", ""content"": ""3096""}], [{""id"": ""g1.0"", ""content"": ""lak""}]]","[""What are the letters on the bus?"", ""What are the letters on the bus?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000436981.jpg""","""What are the letters on the bus?""","[[{""id"":""g0.0"",""content"":""lak 3090""},{""id"":""g0.2"",""content"":""lak309g""}],[{""id"":""g1.0"",""content"":""lak""},{""id"":""g0.1"",""content"":""lak""}],[{""id"":""g0.3"",""content"":""3096""}]]","""What are the numbers on the bus?""","false","","""All answer the same question""","esteng"
"471761","85","Uncertainty QUD","Mon Feb 07 18:34:33 UTC 2022","1","86400","21522","52","Mon Feb 07 18:50:56 UTC 2022","Mon Feb 07 18:51:31 UTC 2022","35","[[{""id"": ""g0.0"", ""content"": ""no""}, {""id"": ""g0.1"", ""content"": ""not on table""}, {""id"": ""g0.2"", ""content"": ""there is none shown""}, {""id"": ""g0.3"", ""content"": ""there isn't any""}], [{""id"": ""g1.0"", ""content"": ""don't know!""}], [{""id"": ""g2.0"", ""content"": ""in drawer""}, {""id"": ""g2.1"", ""content"": ""in someone's hand""}], [{""id"": ""g3.0"", ""content"": ""gone""}], [{""id"": ""g4.0"", ""content"": ""absent""}]]","[""Where is the silverware?"", ""Where is the silverware?"", ""Where is the silverware?"", ""Where is the silverware?"", ""Where is the silverware?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000441678.jpg""","""Where is the silverware?""","[[{""id"":""g0.0"",""content"":""no""},{""id"":""g0.1"",""content"":""not on table""},{""id"":""g0.2"",""content"":""there is none shown""},{""id"":""g0.3"",""content"":""there isn't any""}],[{""id"":""g1.0"",""content"":""don't know!""}],[{""id"":""g2.0"",""content"":""in drawer""},{""id"":""g2.1"",""content"":""in someone's hand""}],[{""id"":""g3.0"",""content"":""gone""}],[{""id"":""g4.0"",""content"":""absent""}]]","[""Where is the silverware?"",""Where is the silverware?"",""Where is the silverware?"",""Where is the silverware?"",""Where is the silverware?""]","true","value","""All answer the same question""","esteng"
"471762","85","Uncertainty QUD","Mon Feb 07 18:34:33 UTC 2022","1","86400","21523","52","Mon Feb 07 18:51:31 UTC 2022","Mon Feb 07 18:53:45 UTC 2022","134","[[{""id"": ""g0.0"", ""content"": ""carriage""}, {""id"": ""g0.1"", ""content"": ""horse carriage""}], [{""id"": ""g1.0"", ""content"": ""wagon""}], [{""id"": ""g2.0"", ""content"": ""buggy""}], [{""id"": ""g3.0"", ""content"": ""glasses""}], [{""id"": ""g4.0"", ""content"": ""he's looking out his eyes""}, {""id"": ""g4.1"", ""content"": ""eyes""}], [{""id"": ""g5.0"", ""content"": ""tree""}]]","[""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?"", ""What is the man looking out of?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000443607.jpg""","""What is the man looking out of?""","[[{""id"":""g2.0"",""content"":""buggy""},{""id"":""g1.0"",""content"":""wagon""},{""id"":""g0.0"",""content"":""carriage""},{""id"":""g0.1"",""content"":""horse carriage""}],[{""id"":""g3.0"",""content"":""glasses""}],[{""id"":""g4.0"",""content"":""he's looking out his eyes""},{""id"":""g4.1"",""content"":""eyes""}]]","""What body part is the man looking out of?""","false","","""All answer the same question""","esteng"
"471763","85","Uncertainty QUD","Mon Feb 07 18:34:33 UTC 2022","1","86400","21524","52","Mon Feb 07 18:53:45 UTC 2022","Mon Feb 07 18:54:23 UTC 2022","38","[[{""id"": ""g0.0"", ""content"": ""bucket hat""}, {""id"": ""g0.1"", ""content"": ""hat with hole""}], [{""id"": ""g1.0"", ""content"": ""fedora""}], [{""id"": ""g2.0"", ""content"": ""rasta hat""}], [{""id"": ""g3.0"", ""content"": ""ponytail""}], [{""id"": ""g4.0"", ""content"": ""fedora with dreads""}], [{""id"": ""g5.0"", ""content"": ""visor""}], [{""id"": ""g6.0"", ""content"": ""top""}]]","[""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?"", ""What type of hat is this man wearing?""]","""https://cs.jhu.edu/~esteng/images_for_hit/COCO_train2014_000000441633.jpg""","""What type of hat is this man wearing?""","[[{""id"":""g0.0"",""content"":""bucket hat""},{""id"":""g0.1"",""content"":""hat with hole""}],[{""id"":""g1.0"",""content"":""fedora""}],[{""id"":""g2.0"",""content"":""rasta hat""}],[{""id"":""g3.0"",""content"":""ponytail""}],[{""id"":""g4.0"",""content"":""fedora with dreads""}],[{""id"":""g5.0"",""content"":""visor""}],[{""id"":""g6.0"",""content"":""top""}]]","[""What type of hat is this man wearing?"",""What type of hat is this man wearing?"",""What type of hat is this man wearing?"",""What type of hat is this man wearing?"",""What type of hat is this man wearing?"",""What type of hat is this man wearing?"",""What type of hat is this man wearing?""]","true","value","""All answer the same question""","esteng"
